model,paraphrase,score_state,abort_rate_4096__hidden,abort_rate_4096__permitted,abort_rate_768__hidden,abort_rate_768__permitted,coop_completed_4096__hidden,coop_completed_4096__permitted,coop_completed_768__hidden,coop_completed_768__permitted,hid_minus_perm_768,hid_minus_perm_4096
deepseek-ai/DeepSeek-V4-Flash-0731,p1,ahead,0.0428571428571428,0.00952380952380945,0.05238095238095235,0.02619047619047615,0.6043450258842584,0.5948943062519169,0.646892403601205,0.6620800171220728,-0.015187613520867727,0.009450719632341564
deepseek-ai/DeepSeek-V4-Flash-0731,p1,behind,0.01190476190476185,0.00238095238095235,0.0166666666666666,0.0071428571428571,0.5555622119047054,0.5631646241135019,0.46721208933762004,0.6138022163320405,-0.14659012699442042,-0.007602412208796427
deepseek-ai/DeepSeek-V4-Flash-0731,p2,ahead,0.019047619047619,0.0833333333333333,0.0833333333333333,0.08809523809523806,0.33581968468200984,0.5948106893859347,0.3208808490790024,0.39178066494192476,-0.07089981586292238,-0.2589910047039249
deepseek-ai/DeepSeek-V4-Flash-0731,p2,behind,0.01190476190476185,0.02857142857142855,0.0976190476190476,0.0833333333333333,0.2593560181970904,0.3028589191647222,0.21853542728320302,0.3597855693038366,-0.14125014202063357,-0.043502900967631764
deepseek-ai/DeepSeek-V4-Flash-0731,p3,ahead,0.0166666666666666,0.0047619047619047,0.2238095238095238,0.26190476190476186,0.302961713541267,0.27495090515378234,0.2869709835048272,0.2863050182095769,0.0006659652952503148,0.028010808387484654
deepseek-ai/DeepSeek-V4-Flash-0731,p3,behind,0.01666666666666665,0.023809523809523753,0.33571428571428574,0.44285714285714284,0.19665928463900195,0.21383618272601862,0.2026168127034636,0.1785019444586904,0.024114868244773213,-0.017176898087016668
