opponent_type,model,script
AlwaysDefect,0.03277591973244147,0.9672240802675586
Grudger,0.10183299389002037,0.8981670061099797
LLM,0.29749851101846336,0.7025014889815366
Pavlov,0.12036389083275018,0.8796361091672499
Random,0.3246753246753247,0.6753246753246753
TitForTat,0.13979263496603503,0.860207365033965
