model,condition,score_state,n_posts,mean_chars,share_directive,share_opponent_info,share_identity,share_other
DeepSeek,forbidden,ahead,1906,30.921825813221407,0.0026232948583420775,0.02728226652675761,0.0,0.9700944386149003
DeepSeek,forbidden,behind,2135,30.985011709601874,0.000468384074941452,0.03185011709601874,0.0,0.9676814988290399
DeepSeek,hidden,ahead,5023,131.28449133983676,0.0035835158271949035,0.004578936890304599,0.0,0.9918375472825005
DeepSeek,hidden,behind,8818,263.1589929689272,0.03243365842594693,0.035835790428668635,0.0,0.9317305511453844
DeepSeek,permitted,ahead,5451,130.29590900752154,0.002568336085121996,0.004769767015226564,0.0,0.9926618968996515
DeepSeek,permitted,behind,14099,264.08851691609334,0.03369033264770551,0.011773884672671821,0.0,0.9545357826796227
MiMo,forbidden,ahead,1740,134.73103448275862,0.3063218390804598,0.16034482758620688,0.0,0.5333333333333333
MiMo,forbidden,behind,2147,137.33861201676757,0.3381462505822077,0.12016767582673497,0.0004657661853749418,0.5412203074056824
MiMo,permitted,behind,785,231.10063694267515,0.20382165605095542,0.033121019108280254,0.0,0.7630573248407644
