block,off,off_decoy,low,low_decoy,high,high_decoy
B1,0.8142857142857143,0.9952380952380953,0.009523809523809525,0.3952380952380952,0.01904761904761905,0.7761904761904762
B2,0.8,0.9952380952380953,0.014285714285714285,0.44285714285714284,0.01904761904761905,0.7714285714285715
B3,0.8285714285714286,0.9571428571428572,0.014285714285714285,0.5952380952380952,0.02857142857142857,0.8476190476190476
B4,0.7476190476190476,0.9047619047619048,0.02857142857142857,0.6285714285714286,0.014285714285714285,0.8666666666666667
B5,0.9476190476190476,0.9380952380952381,0.023809523809523808,0.4142857142857143,0.07142857142857142,0.8380952380952381
B6,0.9666666666666667,0.9666666666666667,0.01904761904761905,0.4714285714285714,0.11428571428571428,0.8666666666666667
