model,block,n_games,board_rate,decoy_rate,post_rate,read_rate
XiaomiMiMo/MiMo-V2.5-Pro,B1,210,0.5666666666666667,0.7714285714285715,0.32857142857142857,0.5238095238095238
deepseek-ai/DeepSeek-V4-Flash-0731,B1,210,0.6333333333333333,1.0,0.5857142857142857,0.35714285714285715
