model,effort,n_games,share_names_and_uses,share_names_and_abstains,share_notnames_and_uses,share_notnames_and_abstains
DeepSeek,high,1656,0.03321256038647343,0.9643719806763285,0.0006038647342995169,0.0018115942028985507
DeepSeek,off,3279,0.7477889600487954,0.23299786520280574,0.011893870082342177,0.007319304666056725
MiMo,off,3292,0.5896111786148238,0.08566221142162819,0.30042527339003644,0.024301336573511544
