model,effort,condition,n,share_evalframe,coop_evalframe,coop_not,crude_diff_pp,lenadj_diff_pp,n_deciles
DeepSeek,high,absent,3221,0.05060540204905309,0.3067484662576687,0.275670372792675,3.1078093464993737,-1.3134084554618009,2
DeepSeek,high,forbidden,32631,0.0182648401826484,0.4597315436241611,0.2643983143436866,19.533322928047447,6.521234389274907,4
DeepSeek,high,hidden,32279,0.012360977725456178,0.43859649122807015,0.32051442910915934,11.80820621189108,2.465948747109735,4
DeepSeek,high,permitted,33580,0.011078022632519356,0.5376344086021505,0.5117742712599374,2.586013734221315,6.285734700622658,4
