score_state,game,n,hazard,board_size
ahead,q1,6731,0.14708067151983362,26.0
ahead,q2,6837,0.16322948661693726,162.0
ahead,q3,6396,0.15400250156347717,315.0
ahead,q4,6453,0.1589958158995816,479.0
ahead,q5,6193,0.16050379460681413,623.0
behind,q1,6551,0.1856205159517631,28.0
behind,q2,6436,0.18986948415164698,138.0
behind,q3,6569,0.1899832546810778,285.0
behind,q4,6795,0.17247976453274466,397.5
behind,q5,6839,0.18204415850270508,553.0
