opponent_type,n_games,n_named_any,named_any_rate,n_name_correct,name_correct_of_named,name_correct_of_all
AlwaysDefect,1656,258,0.15579710144927536,83,0.32170542635658916,0.050120772946859904
Grudger,1656,834,0.5036231884057971,208,0.24940047961630696,0.12560386473429952
Pavlov,1656,930,0.5615942028985508,210,0.22580645161290322,0.12681159420289856
Random,1656,717,0.4329710144927536,94,0.13110181311018132,0.05676328502415459
TitForTat,3312,1933,0.5836352657004831,1497,0.7744438696326953,0.4519927536231884
