block,rate_d30,rate_d10,rate_ahead,d30_minus_d10,d10_minus_ahead,d30_minus_ahead
B1,0.6952380952380952,0.8142857142857143,0.5952380952380952,-0.11904761904761907,0.21904761904761905,0.09999999999999998
B2,0.5952380952380952,0.8,0.6095238095238096,-0.2047619047619048,0.19047619047619047,-0.014285714285714346
B3,0.7476190476190476,0.8285714285714286,0.6761904761904762,-0.080952380952381,0.1523809523809524,0.0714285714285714
B4,0.7285714285714285,0.7476190476190476,0.6666666666666666,-0.01904761904761909,0.080952380952381,0.06190476190476191
B5,0.9619047619047619,0.9476190476190476,0.9380952380952381,0.014285714285714346,0.00952380952380949,0.023809523809523836
B6,0.9476190476190476,0.9666666666666667,0.9571428571428572,-0.01904761904761909,0.00952380952380949,-0.009523809523809601
