opponent_type,model,metric,n_correct,mean_correct,n_wrong,mean_wrong,diff
AlwaysDefect,DeepSeek,own_coop_played,1254,0.18539491618301177,23,0.6955486542443063,-0.5101537380612946
AlwaysDefect,DeepSeek,score,1254,17.559808612440193,23,3.1739130434782608,14.385895568961931
AlwaysDefect,DeepSeek,round1_coop,1254,0.6626794258373205,23,0.8260869565217391,-0.1634075306844186
AlwaysDefect,DeepSeek,last5_coop,1254,0.1380515683147262,23,0.6826086956521739,-0.5445571273374477
AlwaysDefect,MiMo,own_coop_played,192,0.2481764284736587,26,0.3330775194509572,-0.0849010909772985
AlwaysDefect,MiMo,score,192,16.765625,26,13.115384615384615,3.650240384615385
AlwaysDefect,MiMo,round1_coop,192,0.6666666666666666,26,0.34615384615384615,0.3205128205128205
AlwaysDefect,MiMo,last5_coop,192,0.17717013888888888,26,0.258974358974359,-0.08180422008547011
AlwaysDefect,MiMo,retaliation_rate,190,0.7895087737505677,26,0.6636638354051706,0.12584493834539712
Grudger,DeepSeek,own_coop_played,1156,0.4478916026640594,83,0.44172164849875706,0.00616995416530236
Grudger,DeepSeek,score,1156,33.8840830449827,83,19.289156626506024,14.594926418476678
Grudger,DeepSeek,round1_coop,1156,0.653114186851211,83,0.6385542168674698,0.014559969983741206
Grudger,DeepSeek,last5_coop,1156,0.3689446366782007,83,0.3753012048192771,-0.00635656814107638
Grudger,DeepSeek,retaliation_rate,853,0.7943740467639147,56,0.7674109323216466,0.026963114442268066
Grudger,MiMo,own_coop_played,167,0.36666753004037833,67,0.49534996690902455,-0.12868243686864622
Grudger,MiMo,score,167,28.55688622754491,67,24.83582089552239,3.7210653320225227
Grudger,MiMo,round1_coop,167,0.5988023952095808,67,0.6567164179104478,-0.057914022700866985
Grudger,MiMo,last5_coop,167,0.29161676646706586,67,0.3743781094527363,-0.08276134298567045
Grudger,MiMo,retaliation_rate,144,0.7551831462042946,55,0.6450961407378519,0.11008700546644268
LLM,DeepSeek,own_coop_played,1354,0.41507009609680096,4215,0.4716520491740221,-0.05658195307722114
LLM,DeepSeek,score,1354,36.15288035450517,4215,39.208303677342826,-3.0554233228376546
LLM,DeepSeek,round1_coop,1354,0.7548005908419497,4215,0.6690391459074733,0.08576144493447646
LLM,DeepSeek,last5_coop,1354,0.3559330379123585,4215,0.4421115065243179,-0.08617846861195944
LLM,DeepSeek,retaliation_rate,1226,0.8033001593400894,3145,0.7852655771383397,0.018034582201749694
LLM,MiMo,own_coop_played,644,0.5834826312789607,503,0.5802574661944214,0.0032251650845392943
LLM,MiMo,score,644,47.89751552795031,503,46.89264413518887,1.0048713927614443
LLM,MiMo,round1_coop,644,0.6614906832298136,503,0.6242544731610338,0.03723621006877986
LLM,MiMo,last5_coop,644,0.5716097308488612,503,0.5588137839628894,0.012795946885971854
LLM,MiMo,retaliation_rate,578,0.5392736088275383,412,0.5580179591401787,-0.018744350312640434
Pavlov,DeepSeek,own_coop_played,1148,0.4911024812708874,69,0.6598891465437668,-0.16878666527287944
Pavlov,DeepSeek,score,1148,60.77003484320557,69,34.68115942028985,26.08887542291572
Pavlov,DeepSeek,round1_coop,1148,0.6637630662020906,69,0.6956521739130435,-0.03188910771095288
Pavlov,DeepSeek,last5_coop,1148,0.44863530778164923,69,0.7214975845410627,-0.2728622767594135
Pavlov,DeepSeek,retaliation_rate,856,0.7157964939982153,46,0.41929677668168713,0.2964997173165282
Pavlov,MiMo,own_coop_played,109,0.5613622682468008,103,0.5950309885278936,-0.0336687202810928
Pavlov,MiMo,score,109,60.43119266055046,103,52.44660194174757,7.984590718802885
Pavlov,MiMo,round1_coop,109,0.5963302752293578,103,0.6310679611650486,-0.03473768593569082
