model,effort,condition,n_post_moves,read_before_post_rate,mean_board_size_at_read
MiMo,off,forbidden,3755,0.2996005326231691,223.09916666666666
MiMo,off,permitted,774,0.7312661498708011,348.4561403508772
DeepSeek,high,forbidden,21,0.23809523809523808,3.0
DeepSeek,high,hidden,3817,0.9931883678281372,285.6643907563025
DeepSeek,high,permitted,8891,0.9974131143853335,509.27921639270437
DeepSeek,off,forbidden,4077,0.4721609026244788,258.5987748851455
DeepSeek,off,hidden,10849,0.9993547792423265,484.9871806695564
DeepSeek,off,permitted,11790,0.9999151823579304,531.0497879558948
