model,effort,condition,n_posts,share_names_any_agent,share_names_two_agents,share_proposes,share_announces
DeepSeek,high,forbidden,21,0.6666666666666666,0.047619047619047616,0.09523809523809523,0.7619047619047619
DeepSeek,high,hidden,3992,0.9982464929859719,0.9887274549098196,0.812625250501002,0.34318637274549096
DeepSeek,high,permitted,9121,0.9980265321784892,0.9859664510470343,0.9268720535029054,0.2713518254577349
DeepSeek,off,forbidden,4020,0.8345771144278606,0.2766169154228856,0.033582089552238806,0.9681592039800995
DeepSeek,off,hidden,9849,0.9877144887805869,0.98253629810133,0.7767286018885166,0.7815006599654787
DeepSeek,off,permitted,10429,0.988110077668041,0.9738229935756065,0.7960494774187362,0.6504938153226579
MiMo,off,forbidden,3887,0.9719578080782094,0.7038847440185233,0.5989194751736557,0.7854386416259326
MiMo,off,permitted,785,0.9987261146496815,0.9554140127388535,0.8929936305732484,0.9184713375796179
