model,effort,condition,n_posts,n_games_with_posts,mean_chars,share_directive,directive_lo,directive_hi,share_opponent_info,opponent_info_lo,opponent_info_hi,share_identity,identity_lo,identity_hi,share_other,other_lo,other_hi
DeepSeek,high,forbidden,21,21,90.9047619047619,0.047619047619047616,0.008455769471923294,0.22669816586235464,0.2857142857142857,0.13813675745628204,0.49956773822837586,0.0,0.0,0.15464382326420195,0.6666666666666666,0.45373075657210293,0.8280546356731631
DeepSeek,off,forbidden,4020,1347,30.642039800995025,0.0012437810945273632,0.0005313744495483498,0.0029085223893331805,0.028358208955223882,0.023659816278923437,0.03395716347495156,0.0,0.0,0.0009547095492029307,0.9703980099502487,0.9646928345986403,0.9752049983578059
DeepSeek,high,hidden,3992,993,398.3361723446894,0.0688877755511022,0.06143852539669428,0.07716596783446883,0.07690380761523045,0.06903924613544381,0.08558189800600562,0.0,0.0,0.000961399470889937,0.8542084168336673,0.8429204982007167,0.8648152638975607
DeepSeek,off,hidden,9849,1904,141.11280333028733,0.002944461366636207,0.0020509641251471177,0.0042255602026163575,0.0032490608183571934,0.0023024805740774028,0.004583005131893959,0.0,0.0,0.00038989767175390293,0.9938064778150066,0.99205286955584,0.9951750180821791
DeepSeek,high,permitted,9121,1145,333.60585462120383,0.047472864817454226,0.0432960266068649,0.05203073501056416,0.016007016774476482,0.013627627900299054,0.01879393216272713,0.0,0.0,0.000421004568451906,0.9365201184080693,0.9313300879577506,0.9413425949302459
DeepSeek,off,permitted,10429,1909,133.35967015054175,0.005369642343465337,0.004137641943038654,0.0069659101323613975,0.004410777639275098,0.0033086312766466204,0.005877897540200365,0.0,0.0,0.0003682218275028732,0.9902195800172595,0.9881420399028513,0.9919361010324044
MiMo,off,forbidden,3887,1545,136.1713403653203,0.32390018008747107,0.3093686912587845,0.3387794111980208,0.13815281708258298,0.12766170351993156,0.14935846610095455,0.0002572678157962439,4.54143620984115e-05,0.0014559574747813012,0.5376897350141497,0.5219861601012691,0.5533188844423073
MiMo,off,permitted,785,156,231.10063694267515,0.20382165605095542,0.1771150595475688,0.2334129856265194,0.033121019108280254,0.022701216587479194,0.04808815354715875,0.0,0.0,0.004869925723998329,0.7630573248407644,0.7320756185178435,0.7914768918974288
