sandbox,block,model,condition,effort,score_state,paraphrase,n_games,discrimination,accuracy,say_model_rate
B5-hidden-off-behind,B5,DeepSeek,hidden,off,behind,p3,158,0.2049164208456244,0.7278481012658228,0.16455696202531644
B5-permitted-high-behind,B5,DeepSeek,permitted,high,behind,p3,237,0.2569917403274888,0.6624472573839663,0.22362869198312235
B5-permitted-off-ahead,B5,DeepSeek,permitted,off,ahead,p3,170,0.11185133239831699,0.7411764705882353,0.07058823529411765
B5-permitted-off-behind,B5,DeepSeek,permitted,off,behind,p3,132,0.054904586541680615,0.7651515151515151,0.06060606060606061
B6-forbidden-high-behind,B6,DeepSeek,forbidden,high,behind,p3,214,0.4468864468864469,0.7663551401869159,0.2523364485981308
B6-forbidden-off-ahead,B6,DeepSeek,forbidden,off,ahead,p3,249,0.03749028749028749,0.5381526104417671,0.17670682730923695
B6-forbidden-off-behind,B6,DeepSeek,forbidden,off,behind,p3,263,0.04337979094076655,0.5475285171102662,0.09885931558935361
B6-hidden-high-behind,B6,DeepSeek,hidden,high,behind,p3,228,0.3954887218045113,0.7368421052631579,0.2324561403508772
B6-hidden-off-ahead,B6,DeepSeek,hidden,off,ahead,p3,180,-0.021822849807445442,0.6555555555555556,0.05
B6-hidden-off-behind,B6,DeepSeek,hidden,off,behind,p3,147,0.037790697674418616,0.6666666666666666,0.1360544217687075
B6-permitted-high-behind,B6,DeepSeek,permitted,high,behind,p3,221,0.3230535894843276,0.7104072398190046,0.18099547511312217
B6-permitted-off-ahead,B6,DeepSeek,permitted,off,ahead,p3,167,0.007428571428571423,0.718562874251497,0.0658682634730539
B6-permitted-off-behind,B6,DeepSeek,permitted,off,behind,p3,121,0.10121457489878544,0.7768595041322314,0.0743801652892562
M1-forbidden-off-ahead,B1,MiMo,forbidden,off,ahead,p1,187,0.025623427133379117,0.5133689839572193,0.39572192513368987
M1-forbidden-off-behind,B1,MiMo,forbidden,off,behind,p1,209,0.18888888888888894,0.5980861244019139,0.4258373205741627
M1-permitted-off-behind,B1,MiMo,permitted,off,behind,p1,194,0.19587628865979378,0.5979381443298969,0.5103092783505154
M2-forbidden-off-ahead,B2,MiMo,forbidden,off,ahead,p1,225,0.15919531126247422,0.5777777777777777,0.5333333333333333
M2-forbidden-off-behind,B2,MiMo,forbidden,off,behind,p1,195,0.2571428571428571,0.6307692307692307,0.46153846153846156
M3-forbidden-off-ahead,B3,MiMo,forbidden,off,ahead,p2,225,0.06481481481481477,0.5288888888888889,0.5866666666666667
M3-forbidden-off-behind,B3,MiMo,forbidden,off,behind,p2,220,0.15424696054916875,0.5727272727272728,0.6590909090909091
M4-forbidden-off-ahead,B4,MiMo,forbidden,off,ahead,p2,52,0.17972350230414746,0.5384615384615384,0.75
M4-forbidden-off-behind,B4,MiMo,forbidden,off,behind,p2,196,0.1672955974842767,0.5714285714285714,0.6428571428571429
M5-forbidden-off-ahead,B5,MiMo,forbidden,off,ahead,p3,123,0.2544283413848631,0.6585365853658537,0.22764227642276422
M5-forbidden-off-behind,B5,MiMo,forbidden,off,behind,p3,232,0.09199522102747909,0.5517241379310345,0.41379310344827586
M6-forbidden-off-ahead,B6,MiMo,forbidden,off,ahead,p3,194,0.09324827219564058,0.5463917525773195,0.5103092783505154
M6-forbidden-off-behind,B6,MiMo,forbidden,off,behind,p3,156,0.051282051282051266,0.5256410256410257,0.2564102564102564
