dataset,view,index,coop,n_sandboxes,n_decisions
low_arm,A_all_games,8,0.167303001990848,6,1323
low_arm,A_all_games,9,0.15453347684509536,6,1294
low_arm,A_all_games,10,0.15177104351599882,6,1261
low_arm,A_all_games,11,0.14258014386179801,6,1211
low_arm,A_all_games,12,0.13032925471490275,6,1188
low_arm,A_all_games,13,0.13251641810611325,6,1149
low_arm,A_all_games,14,0.08941776176091278,6,1124
low_arm,A_all_games,15,0.13304601860080514,6,1077
low_arm,A_all_games,16,0.14575858558995178,6,1034
low_arm,A_all_games,17,0.15689759314363885,6,1000
low_arm,A_all_games,18,0.13494053123171698,6,972
low_arm,A_all_games,19,0.11827241796720155,6,946
low_arm,A_all_games,20,0.13314339956854612,6,919
low_arm,A_all_games,21,0.1331504537959949,6,886
low_arm,A_all_games,22,0.1333342604713781,6,862
low_arm,A_all_games,23,0.14096218309970604,6,838
low_arm,A_all_games,24,0.16660659570120662,6,825
low_arm,A_all_games,25,0.1861477006153319,6,795
low_arm,A_all_games,26,0.16512486332528287,6,764
low_arm,A_all_games,27,0.16674840212175737,6,744
low_arm,A_all_games,28,0.18164312918049888,6,724
low_arm,A_all_games,29,0.1789626321589992,6,699
low_arm,A_all_games,30,0.17273030909342765,6,676
low_arm,B_reached_30,1,0.6186516696863911,6,676
low_arm,B_reached_30,2,0.38962852360111394,6,676
low_arm,B_reached_30,3,0.3577140376528664,6,676
low_arm,B_reached_30,4,0.1085676709307248,6,676
low_arm,B_reached_30,5,0.27810371193495514,6,676
low_arm,B_reached_30,6,0.1987575083492709,6,676
low_arm,B_reached_30,7,0.19008089586330734,6,676
low_arm,B_reached_30,8,0.15234887501990863,6,676
low_arm,B_reached_30,9,0.15036526769226546,6,676
low_arm,B_reached_30,10,0.14224516062606682,6,676
low_arm,B_reached_30,11,0.14733337607786132,6,676
low_arm,B_reached_30,12,0.11458433080820507,6,676
low_arm,B_reached_30,13,0.12085621182968283,6,676
low_arm,B_reached_30,14,0.09487751684532536,6,676
low_arm,B_reached_30,15,0.12205671727402599,6,676
low_arm,B_reached_30,16,0.12541565878722274,6,676
low_arm,B_reached_30,17,0.14937027971554595,6,676
low_arm,B_reached_30,18,0.1209008701448851,6,676
low_arm,B_reached_30,19,0.11344096693625348,6,676
low_arm,B_reached_30,20,0.12854046462658483,6,676
low_arm,B_reached_30,21,0.13178074629775183,6,676
low_arm,B_reached_30,22,0.1371840968998092,6,676
low_arm,B_reached_30,23,0.1407478351421678,6,676
low_arm,B_reached_30,24,0.16964603282034404,6,676
low_arm,B_reached_30,25,0.18026232516353877,6,676
low_arm,B_reached_30,26,0.15979609071868775,6,676
low_arm,B_reached_30,27,0.16048857633760719,6,676
low_arm,B_reached_30,28,0.17001355556743006,6,676
low_arm,B_reached_30,29,0.1749071422383388,6,676
low_arm,B_reached_30,30,0.17273030909342765,6,676
low_arm,C_from_end,0,0.1998792270531401,6,1656
low_arm,C_from_end,1,0.19135092189617575,6,1604
low_arm,C_from_end,2,0.1810886840848642,6,1562
low_arm,C_from_end,3,0.1839946326720344,6,1521
low_arm,C_from_end,4,0.1916304554755283,6,1462
low_arm,C_from_end,5,0.1943328262399995,6,1414
low_arm,C_from_end,6,0.1892819509605295,6,1378
low_arm,C_from_end,7,0.1613528132874246,6,1323
low_arm,C_from_end,8,0.1683432230295221,6,1294
low_arm,C_from_end,9,0.17346338802592223,6,1261
low_arm,C_from_end,10,0.1675483943827257,6,1211
low_arm,C_from_end,11,0.17420265762481926,6,1188
low_arm,C_from_end,12,0.16642119384503867,6,1149
low_arm,C_from_end,13,0.18746982763485812,6,1124
low_arm,C_from_end,14,0.17705340320429674,6,1077
low_arm,C_from_end,15,0.1688219602044363,6,1034
low_arm,C_from_end,16,0.1470885422275038,6,1000
low_arm,C_from_end,17,0.161192826686029,6,972
low_arm,C_from_end,18,0.16464344119727028,6,946
low_arm,C_from_end,19,0.1861866251091554,6,919
low_arm,C_from_end,20,0.17045940001433402,6,886
low_arm,C_from_end,21,0.18995822077020794,6,862
low_arm,C_from_end,22,0.19420953085144885,6,838
low_arm,C_from_end,23,0.22115276303372974,6,825
low_arm,C_from_end,24,0.22450610457604173,6,795
