dataset,scope,opponent_type,n_sandboxes,n_games,own_coop_played,opp_coop_played,spr,opp_spr,mutual_C,mutual_D,exploited_opp,was_exploited,round1_coop,last5_coop,retaliation_rate,forgiveness_rate,rounds,coop_lo,coop_hi,spr_lo,spr_hi
deficit_d30,all,AlwaysDefect,6,144,0.10586602469173745,0.0,0.8941339753082626,1.42346409876695,0.0,0.8941339753082626,0.0,0.10586602469173745,0.09722222222222222,0.08865740740740741,0.9019527701792606,,19.555555555555554,0.04617531828766897,0.163427163416951,0.836572836583049,0.953824681712331
deficit_d30,all,Grudger,6,144,0.11856959143663243,0.13355310149783373,1.381626048547805,1.3067084982417982,0.03401676600689759,0.7818940730724314,0.09953633549093616,0.08455282542973484,0.09027777777777778,0.11284722222222222,0.9132490467913285,0.11850649350649352,19.79861111111111,0.05750486010902676,0.17768124560036994,1.2741776610232225,1.4709925951434555
deficit_d30,all,LLM,6,792,0.14279740413499212,0.14279740413499212,1.360918109751502,1.360918109751502,0.05645255714917006,0.7708577488791858,0.08634484698582205,0.08634484698582205,0.1212121212121212,0.17272727272727273,0.8816284272141454,0.2522393773357783,19.909090909090907,0.0676374264138402,0.21756273176430388,1.172357972228305,1.5445392769414445
deficit_d30,all,Pavlov,6,144,0.2318927260253348,0.56613788342428,2.8636373314690347,1.2018812414440057,0.1488194560007304,0.3507888465511156,0.4173184274235496,0.0830732700246044,0.1875,0.27534722222222224,0.8404670777811264,0.1934751339642644,20.361111111111114,0.1675985490917362,0.29921575234741266,2.7195690723854127,3.0105989050158635
deficit_d30,all,Random,6,144,0.20684033120484757,0.4975954900968021,2.658139343529212,1.2145759673700927,0.10456895231981583,0.4001331310181662,0.3930265377769862,0.10227137888503172,0.1111111111111111,0.2519675925925926,0.8357846626111899,0.2290876944909074,18.95138888888889,0.1449772056591098,0.2775964782665296,2.457094415546456,2.84835098261772
deficit_d30,all,TitForTat,6,288,0.12585810847922294,0.24197881611652608,1.7756643887026773,1.2037414060717173,0.05597610061753724,0.6881391760217882,0.18600271549898886,0.0698820078616857,0.10416666666666667,0.13003472222222223,0.8808731921350442,0.12642186286382373,18.927083333333332,0.06708927445531014,0.18324967644417464,1.6430063377589352,1.8967531320589892
deficit_d30,effort=off,AlwaysDefect,6,144,0.10586602469173745,0.0,0.8941339753082626,1.42346409876695,0.0,0.8941339753082626,0.0,0.10586602469173745,0.09722222222222222,0.08865740740740741,0.9019527701792606,,19.555555555555554,,,,
deficit_d30,effort=off,Grudger,6,144,0.11856959143663243,0.13355310149783373,1.381626048547805,1.3067084982417982,0.03401676600689759,0.7818940730724314,0.09953633549093616,0.08455282542973484,0.09027777777777778,0.11284722222222222,0.9132490467913285,0.11850649350649352,19.79861111111111,,,,
deficit_d30,effort=off,LLM,6,792,0.14279740413499212,0.14279740413499212,1.360918109751502,1.360918109751502,0.05645255714917006,0.7708577488791858,0.08634484698582205,0.08634484698582205,0.1212121212121212,0.17272727272727273,0.8816284272141454,0.2522393773357783,19.909090909090907,,,,
deficit_d30,effort=off,Pavlov,6,144,0.2318927260253348,0.56613788342428,2.8636373314690347,1.2018812414440057,0.1488194560007304,0.3507888465511156,0.4173184274235496,0.0830732700246044,0.1875,0.27534722222222224,0.8404670777811264,0.1934751339642644,20.361111111111114,,,,
deficit_d30,effort=off,Random,6,144,0.20684033120484757,0.4975954900968021,2.658139343529212,1.2145759673700927,0.10456895231981583,0.4001331310181662,0.3930265377769862,0.10227137888503172,0.1111111111111111,0.2519675925925926,0.8357846626111899,0.2290876944909074,18.95138888888889,,,,
deficit_d30,effort=off,TitForTat,6,288,0.12585810847922294,0.24197881611652608,1.7756643887026773,1.2037414060717173,0.05597610061753724,0.6881391760217882,0.18600271549898886,0.0698820078616857,0.10416666666666667,0.13003472222222223,0.8808731921350442,0.12642186286382373,18.927083333333332,,,,
deficit_d30,score_state=behind,AlwaysDefect,6,144,0.10586602469173745,0.0,0.8941339753082626,1.42346409876695,0.0,0.8941339753082626,0.0,0.10586602469173745,0.09722222222222222,0.08865740740740741,0.9019527701792606,,19.555555555555554,,,,
deficit_d30,score_state=behind,Grudger,6,144,0.11856959143663243,0.13355310149783373,1.381626048547805,1.3067084982417982,0.03401676600689759,0.7818940730724314,0.09953633549093616,0.08455282542973484,0.09027777777777778,0.11284722222222222,0.9132490467913285,0.11850649350649352,19.79861111111111,,,,
deficit_d30,score_state=behind,LLM,6,792,0.14279740413499212,0.14279740413499212,1.360918109751502,1.360918109751502,0.05645255714917006,0.7708577488791858,0.08634484698582205,0.08634484698582205,0.1212121212121212,0.17272727272727273,0.8816284272141454,0.2522393773357783,19.909090909090907,,,,
deficit_d30,score_state=behind,Pavlov,6,144,0.2318927260253348,0.56613788342428,2.8636373314690347,1.2018812414440057,0.1488194560007304,0.3507888465511156,0.4173184274235496,0.0830732700246044,0.1875,0.27534722222222224,0.8404670777811264,0.1934751339642644,20.361111111111114,,,,
deficit_d30,score_state=behind,Random,6,144,0.20684033120484757,0.4975954900968021,2.658139343529212,1.2145759673700927,0.10456895231981583,0.4001331310181662,0.3930265377769862,0.10227137888503172,0.1111111111111111,0.2519675925925926,0.8357846626111899,0.2290876944909074,18.95138888888889,,,,
deficit_d30,score_state=behind,TitForTat,6,288,0.12585810847922294,0.24197881611652608,1.7756643887026773,1.2037414060717173,0.05597610061753724,0.6881391760217882,0.18600271549898886,0.0698820078616857,0.10416666666666667,0.13003472222222223,0.8808731921350442,0.12642186286382373,18.927083333333332,,,,
deficit_d30,model=deepseek-ai/DeepSeek-V4-Flash-0731,AlwaysDefect,6,144,0.10586602469173745,0.0,0.8941339753082626,1.42346409876695,0.0,0.8941339753082626,0.0,0.10586602469173745,0.09722222222222222,0.08865740740740741,0.9019527701792606,,19.555555555555554,,,,
deficit_d30,model=deepseek-ai/DeepSeek-V4-Flash-0731,Grudger,6,144,0.11856959143663243,0.13355310149783373,1.381626048547805,1.3067084982417982,0.03401676600689759,0.7818940730724314,0.09953633549093616,0.08455282542973484,0.09027777777777778,0.11284722222222222,0.9132490467913285,0.11850649350649352,19.79861111111111,,,,
deficit_d30,model=deepseek-ai/DeepSeek-V4-Flash-0731,LLM,6,792,0.14279740413499212,0.14279740413499212,1.360918109751502,1.360918109751502,0.05645255714917006,0.7708577488791858,0.08634484698582205,0.08634484698582205,0.1212121212121212,0.17272727272727273,0.8816284272141454,0.2522393773357783,19.909090909090907,,,,
deficit_d30,model=deepseek-ai/DeepSeek-V4-Flash-0731,Pavlov,6,144,0.2318927260253348,0.56613788342428,2.8636373314690347,1.2018812414440057,0.1488194560007304,0.3507888465511156,0.4173184274235496,0.0830732700246044,0.1875,0.27534722222222224,0.8404670777811264,0.1934751339642644,20.361111111111114,,,,
deficit_d30,model=deepseek-ai/DeepSeek-V4-Flash-0731,Random,6,144,0.20684033120484757,0.4975954900968021,2.658139343529212,1.2145759673700927,0.10456895231981583,0.4001331310181662,0.3930265377769862,0.10227137888503172,0.1111111111111111,0.2519675925925926,0.8357846626111899,0.2290876944909074,18.95138888888889,,,,
deficit_d30,model=deepseek-ai/DeepSeek-V4-Flash-0731,TitForTat,6,288,0.12585810847922294,0.24197881611652608,1.7756643887026773,1.2037414060717173,0.05597610061753724,0.6881391760217882,0.18600271549898886,0.0698820078616857,0.10416666666666667,0.13003472222222223,0.8808731921350442,0.12642186286382373,18.927083333333332,,,,
deficit_d30,condition=forbidden,AlwaysDefect,6,144,0.10586602469173745,0.0,0.8941339753082626,1.42346409876695,0.0,0.8941339753082626,0.0,0.10586602469173745,0.09722222222222222,0.08865740740740741,0.9019527701792606,,19.555555555555554,,,,
deficit_d30,condition=forbidden,Grudger,6,144,0.11856959143663243,0.13355310149783373,1.381626048547805,1.3067084982417982,0.03401676600689759,0.7818940730724314,0.09953633549093616,0.08455282542973484,0.09027777777777778,0.11284722222222222,0.9132490467913285,0.11850649350649352,19.79861111111111,,,,
deficit_d30,condition=forbidden,LLM,6,792,0.14279740413499212,0.14279740413499212,1.360918109751502,1.360918109751502,0.05645255714917006,0.7708577488791858,0.08634484698582205,0.08634484698582205,0.1212121212121212,0.17272727272727273,0.8816284272141454,0.2522393773357783,19.909090909090907,,,,
deficit_d30,condition=forbidden,Pavlov,6,144,0.2318927260253348,0.56613788342428,2.8636373314690347,1.2018812414440057,0.1488194560007304,0.3507888465511156,0.4173184274235496,0.0830732700246044,0.1875,0.27534722222222224,0.8404670777811264,0.1934751339642644,20.361111111111114,,,,
deficit_d30,condition=forbidden,Random,6,144,0.20684033120484757,0.4975954900968021,2.658139343529212,1.2145759673700927,0.10456895231981583,0.4001331310181662,0.3930265377769862,0.10227137888503172,0.1111111111111111,0.2519675925925926,0.8357846626111899,0.2290876944909074,18.95138888888889,,,,
deficit_d30,condition=forbidden,TitForTat,6,288,0.12585810847922294,0.24197881611652608,1.7756643887026773,1.2037414060717173,0.05597610061753724,0.6881391760217882,0.18600271549898886,0.0698820078616857,0.10416666666666667,0.13003472222222223,0.8808731921350442,0.12642186286382373,18.927083333333332,,,,
low_arm,all,AlwaysDefect,6,144,0.14115012738313554,0.0,0.8588498726168644,1.5646005095325421,0.0,0.8588498726168644,0.0,0.14115012738313554,0.5972222222222222,0.12395833333333334,0.9292224351938225,,18.979166666666668,0.11953110221105578,0.17240428034715813,0.8275957196528418,0.8804688977889441
low_arm,all,Grudger,6,144,0.23757276397934798,0.20812261244841715,1.453006905420647,1.6002576630753012,0.14191078039367375,0.6962154039659086,0.06621183205474344,0.09566198358567429,0.5833333333333334,0.1699074074074074,0.8685865486118113,0.20727225672877847,20.118055555555557,0.17191652525247791,0.30801588697542875,1.2976002514669611,1.6023080499537852
