model,effort,names_prohibition,n_games,share_of_cell,attempted_use_rate,ci_lo,ci_hi
DeepSeek,high,True,1652,0.9975845410628019,0.033292978208232446,0.025667049837004734,0.043084453930022255
DeepSeek,high,False,4,0.0024154589371980675,0.25,0.045586062644636216,0.6993639475573634
DeepSeek,high,DIFF(names-not),1656,,-0.21670702179176754,,
DeepSeek,off,True,3216,0.9807868252516011,0.7624378109452736,0.747420943361737,0.776828448285355
DeepSeek,off,False,63,0.0192131747483989,0.6190476190476191,0.49558404006594975,0.7288271050891633
DeepSeek,off,DIFF(names-not),3279,,0.14339019189765456,,
MiMo,off,True,2223,0.675273390036452,0.873144399460189,0.8586624734270137,0.8863388773650677
MiMo,off,False,1069,0.324726609963548,0.9251637043966323,0.9078224609494764,0.9394601201883169
MiMo,off,DIFF(names-not),3292,,-0.052019304936443356,,
