model,condition,unit,variant,contrast,k,mean_pp,positive,negative,raw_p,min_pp,max_pp
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,reported_final,deficit,6,-11.594202898550726,0,6,0.03125,-27.898550724637676,-0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,reported_final,high_low,6,1.9927536231884055,5,1,0.1875,-1.0869565217391304,7.246376811594203
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,reported_final,low_off,6,-81.03864734299516,0,6,0.03125,-93.47826086956522,-69.20289855072464
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,round1,A,6,-29.04589371980676,0,6,0.03125,-48.91304347826087,-7.971014492753622
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,round1,B,6,6.340579710144926,6,0,0.03125,0.362318840579709,8.695652173913045
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,round1,deficit,6,-7.971014492753621,1,5,0.09375,-21.73913043478261,1.4492753623188415
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,round1,high_low,6,0.12077294685990338,3,1,0.625,-0.36231884057971014,0.36231884057971014
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,round1,low_off,6,-29.166666666666668,0,6,0.03125,-49.27536231884058,-7.971014492753622
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,any,A,6,-80.63492063492063,0,6,0.03125,-87.61904761904762,-73.33333333333334
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,any,B,6,11.031746031746032,6,0,0.03125,0.952380952380949,21.904761904761905
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,any,deficit,6,-7.142857142857146,1,5,0.0625,-20.47619047619048,1.4285714285714346
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,any,high_low,6,2.619047619047619,5,1,0.1875,-1.4285714285714286,9.523809523809524
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,any,low_off,6,-83.25396825396827,0,6,0.03125,-94.76190476190476,-71.9047619047619
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,decoy,A,6,-13.174603174603176,0,6,0.03125,-22.38095238095238,-3.809523809523807
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,decoy,B,6,2.6984126984127017,4,2,0.25,-4.761904761904767,8.0952380952381
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,decoy,deficit,6,-1.9047619047619075,1,4,0.3125,-6.666666666666677,2.3809523809523836
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,decoy,high_low,6,33.65079365079365,6,0,0.03125,23.809523809523814,42.38095238095238
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,decoy,low_off,6,-46.82539682539683,0,6,0.03125,-60.00000000000001,-27.61904761904762
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,final,A,6,-80.39682539682539,0,6,0.03125,-87.14285714285714,-72.3809523809524
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,final,B,6,11.26984126984127,6,0,0.03125,0.952380952380949,22.857142857142854
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,final,deficit,6,-7.063492063492067,1,5,0.125,-20.47619047619048,1.904761904761909
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,final,high_low,6,2.619047619047619,5,1,0.1875,-1.4285714285714286,9.523809523809524
