score_state,block,n,round1_coop,own_coop,retaliation,forgiveness,score
ahead,B1,276,0.8804347826086957,0.6802950942179946,0.6496981558526442,0.3885397935397935,47.48913043478261
ahead,B2,276,0.9057971014492754,0.6526877847590168,0.6820655166451997,0.35964887816168656,48.71739130434783
ahead,B3,274,0.7554744525547445,0.6522842051564316,0.5809704117658313,0.4316461528293589,44.86861313868613
ahead,B4,275,0.7454545454545455,0.6169062511206391,0.5888903719529812,0.383812332350344,45.261818181818185
ahead,B5,271,0.5793357933579336,0.4268237995615109,0.6218738266524153,0.3525779510229271,34.93357933579336
ahead,B6,265,0.5358490566037736,0.4085176865762442,0.6715220241755622,0.34387956319774504,35.51698113207547
behind,B1,274,0.7773722627737226,0.41674361193761733,0.7857748784018331,0.4237246233298865,38.74087591240876
behind,B2,276,0.8260869565217391,0.4366070447799909,0.7562573789308148,0.3804937022042285,40.539855072463766
behind,B3,274,0.6167883211678832,0.45001859555837714,0.7765339908615341,0.30803359812793774,40.55474452554745
behind,B4,276,0.5797101449275363,0.4404292516522775,0.758521993662596,0.3505093451522023,38.69927536231884
behind,B5,271,0.5461254612546126,0.42312423954830414,0.6955962044082588,0.42489475374728064,38.28782287822878
behind,B6,271,0.5498154981549815,0.41271211680782166,0.7040111447533772,0.42084782941925797,39.457564575645755
