dataset,block,sandbox,model,condition,effort,score_state,paraphrase,n_games,board_rate,decoy_rate,post_rate,read_rate,n_dec,n_played,parse_fail,trunc_rate,fb_any,retry_rate,mean_attempts,lost_by_retry,mean_reason_tok,n_agent_games,n_games_all,abort_rate,unobs_rate,censored_rate
prereg,B1,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,210,0.8142857142857143,0.9952380952380953,0.46190476190476193,0.7904761904761904,5627,5625,0.00017771459036786921,0.00017771459036786921,0.00017771459036786921,0.0010662875422072153,1.0010662875422072,0.0005331437711036076,0.0,276,210,0.007246376811594203,0.0,0.0
prereg,B1,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,210,0.9714285714285714,0.9714285714285714,0.8714285714285714,0.9714285714285714,5505,5500,0.0007266121707538601,0.00036330608537693006,0.0007266121707538601,0.004904632152588556,1.0049046321525885,0.0021798365122615805,2763.9297002724797,276,210,0.021739130434782608,0.0,0.007246376811594203
prereg,B1,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,210,1.0,0.9809523809523809,0.819047619047619,1.0,5282,5267,0.002271866717152594,0.0,0.002271866717152594,0.013252555850056797,1.0132525558500567,0.003218477849299508,0.0,276,210,0.06159420289855073,0.0,0.0
prereg,B1,B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,210,1.0,0.9904761904761905,0.8523809523809524,1.0,5593,5586,0.001072769533345253,0.00035758984444841767,0.001072769533345253,0.013230824244591453,1.0132308242445915,0.001072769533345253,0.0,276,210,0.03260869565217391,0.0,0.0
prereg,B1,B1-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,210,0.9714285714285714,0.9714285714285714,0.9,0.9714285714285714,5779,5775,0.0005191209551825575,0.0,0.0005191209551825575,0.0025956047759127876,1.0025956047759128,0.0008652015919709292,2700.583838034262,276,210,0.014492753623188406,0.0,0.014492753623188406
prereg,B1,B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,210,1.0,0.9809523809523809,0.9,1.0,5155,5151,0.0007759456838021338,0.00019398642095053346,0.0007759456838021338,0.00834141610087294,1.008341416100873,0.0005819592628516004,0.0,276,210,0.014492753623188406,0.0,0.0
prereg,B1,B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,210,1.0,0.9619047619047619,0.8095238095238095,1.0,5298,5295,0.0005662514156285391,0.00018875047187617969,0.0005662514156285391,0.010192525481313703,1.0101925254813138,0.0005662514156285391,0.0,276,210,0.014492753623188406,0.0,0.0
prereg,B1,M1-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p1,210,0.9523809523809523,0.6285714285714286,0.49523809523809526,0.9,5399,5398,0.00018521948508983145,0.0003704389701796629,0.00018521948508983145,0.004260048157066124,1.004260048157066,0.0005556584552694943,0.0,276,210,0.0036231884057971015,0.0,0.0
prereg,B1,M1-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p1,210,0.9476190476190476,0.580952380952381,0.49523809523809526,0.9285714285714286,5624,5624,0.0,0.00017780938833570413,0.0,0.0037339971550497866,1.0037339971550499,0.00017780938833570413,0.0,276,210,0.0,0.0,0.0
prereg,B1,M1-permitted-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,permitted,off,behind,p1,210,0.9857142857142858,0.6619047619047619,0.7523809523809524,0.9857142857142858,5067,5064,0.00039471087428458656,0.0,0.00039471087428458656,0.0061180185514110915,1.0061180185514111,0.0007894217485691731,0.0,276,210,0.010869565217391304,0.0,0.0
prereg,B1,X1-forbidden-off-behind-p4,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p4,210,0.6333333333333333,1.0,0.5857142857142857,0.35714285714285715,5199,5198,0.00019234468166955183,0.00019234468166955183,0.00019234468166955183,0.0028851702250432777,1.0028851702250432,0.0009617234083477592,0.0,276,210,0.007246376811594203,0.0,0.0
prereg,B1,Y1-forbidden-off-behind-p4,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p4,210,0.5666666666666667,0.7714285714285715,0.32857142857142857,0.5238095238095238,5305,5305,0.0,0.0,0.0,0.000942507068803016,1.000942507068803,0.0,0.0,276,210,0.0,0.0,0.0
prereg,B2,B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,210,0.01904761904761905,0.7714285714285715,0.004761904761904762,0.014285714285714285,5449,5449,0.0,0.0,0.0,0.0,1.0,0.0,1796.813727289411,276,210,0.0,0.0,0.0
prereg,B2,B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,210,0.6095238095238096,0.9476190476190476,0.3904761904761905,0.5619047619047619,5870,5870,0.0,0.0,0.0,0.0010221465076660989,1.001022146507666,0.00017035775127768313,0.0,276,210,0.0,0.0,0.0
prereg,B2,B2-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,210,0.8,0.9952380952380953,0.47619047619047616,0.780952380952381,5609,5609,0.0,0.0,0.0,0.0008914244963451596,1.0008914244963452,0.00035656979853806385,0.0,276,210,0.0,0.0,0.0
prereg,B2,B2-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,210,0.919047619047619,0.919047619047619,0.8428571428571429,0.919047619047619,5278,5276,0.00037893141341417203,0.00018946570670708602,0.00037893141341417203,0.004357711254262978,1.004357711254263,0.0017051913603637742,2867.2836301629404,276,210,0.010869565217391304,0.0,0.0036231884057971015
prereg,B2,B2-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,210,1.0,0.9952380952380953,0.819047619047619,1.0,5385,5372,0.0018570102135561746,0.00018570102135561745,0.0018570102135561746,0.012070566388115135,1.012070566388115,0.002042711234911792,0.0,276,210,0.05434782608695652,0.0,0.0
prereg,B2,B2-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,210,1.0,0.9904761904761905,0.8428571428571429,1.0,5656,5655,0.0001768033946251768,0.0,0.0001768033946251768,0.010961810466760962,1.010961810466761,0.0024752475247524753,0.0,276,210,0.007246376811594203,0.0,0.0
prereg,B2,B2-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,210,0.9714285714285714,0.9714285714285714,0.8047619047619048,0.9714285714285714,5490,5490,0.0,0.0,0.0,0.0009107468123861566,1.0009107468123861,0.0,2251.785428051002,276,210,0.0,0.0,0.0
prereg,B2,B2-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,210,1.0,0.9904761904761905,0.861904761904762,1.0,5453,5445,0.0012836970474967907,0.00018338529249954154,0.0012836970474967907,0.013753896937465615,1.0137538969374655,0.0007335411699981661,0.0,276,210,0.03985507246376811,0.0,0.0
prereg,B2,B2-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,210,1.0,0.9857142857142858,0.8095238095238095,1.0,5161,5161,0.0,0.0,0.0,0.007362914163921721,1.0073629141639218,0.00038752179810114316,0.0,276,210,0.0,0.0,0.0
prereg,B2,M2-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p1,210,0.919047619047619,0.6666666666666666,0.45714285714285713,0.9095238095238095,5275,5275,0.0,0.0,0.0,0.004549763033175356,1.0045497630331754,0.0,0.0,276,210,0.0,0.0,0.0
prereg,B2,M2-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p1,210,0.9571428571428572,0.6476190476190476,0.580952380952381,0.9523809523809523,5598,5598,0.0,0.0001786352268667381,0.0,0.003929974991068239,1.0039299749910682,0.0008931761343336906,0.0,276,210,0.0,0.0,0.0
prereg,B3,B3-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p2,210,0.02857142857142857,0.8476190476190476,0.0,0.02857142857142857,5687,5687,0.0,0.00017583963425356076,0.0,0.0003516792685071215,1.0003516792685072,0.0,1982.9602602426587,276,210,0.0,0.0,0.0
prereg,B3,B3-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p2,210,0.6761904761904762,0.8857142857142857,0.30952380952380953,0.6619047619047619,5404,5402,0.0001850481125092524,0.0,0.0001850481125092524,0.0014803849000740192,1.001480384900074,0.0003700962250185048,0.0,276,210,0.007246376811594203,0.0,0.0
prereg,B3,B3-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p2,210,0.8285714285714286,0.9571428571428572,0.5571428571428572,0.8142857142857143,5750,5748,0.00017391304347826088,0.00017391304347826088,0.00017391304347826088,0.0033043478260869567,1.003304347826087,0.0010434782608695651,0.0,276,210,0.007246376811594203,0.0,0.0
prereg,B3,B3-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p2,209,0.9521531100478469,0.9521531100478469,0.7272727272727273,0.9521531100478469,5386,5375,0.0016709988860007428,0.0001856665428889714,0.0016709988860007428,0.0051986632008912,1.0051986632008911,0.0022279985146676567,2748.2170441886374,276,210,0.043478260869565216,0.007246376811594203,0.03260869565217391
prereg,B3,B3-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,210,1.0,0.9857142857142858,0.9142857142857143,1.0,5361,5345,0.0026114530871106136,0.0016787912702853946,0.0026114530871106136,0.019212833426599515,1.0192128334265995,0.0027979854504756574,0.0,276,210,0.07971014492753623,0.0,0.0
prereg,B3,B3-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,210,1.0,1.0,0.9095238095238095,1.0,4585,4541,0.00697928026172301,0.008505997818974919,0.00697928026172301,0.03533260632497274,1.0353326063249728,0.0010905125408942203,0.0,276,210,0.19927536231884058,0.0,0.0
prereg,B3,B3-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p2,210,0.9904761904761905,0.9904761904761905,0.9238095238095239,0.9904761904761905,5531,5529,0.0001807991321641656,0.0001807991321641656,0.0001807991321641656,0.0039775809076116435,1.0039775809076117,0.0009039956608208281,3826.387452540228,276,210,0.007246376811594203,0.0,0.0
prereg,B3,B3-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,210,1.0,1.0,0.9714285714285714,1.0,4757,4731,0.003994113937355476,0.0018919487071683834,0.003994113937355476,0.03237334454488123,1.0323733445448813,0.0021021652301870925,0.0,276,210,0.11231884057971014,0.0,0.0
prereg,B3,B3-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,210,1.0,1.0,0.9285714285714286,1.0,4997,4973,0.0040024014408645186,0.003001801080648389,0.0040024014408645186,0.027016209725835502,1.0270162097258355,0.00020012007204322593,0.0,276,210,0.11231884057971014,0.0,0.0
prereg,B3,M3-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p2,210,0.8809523809523809,0.9095238095238095,0.5,0.8714285714285714,5852,5849,0.0003417634996582365,0.00017088174982911826,0.0003417634996582365,0.011278195488721804,1.0112781954887218,0.0008544087491455912,0.0,276,210,0.010869565217391304,0.0,0.0
prereg,B3,M3-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p2,210,0.9476190476190476,0.8857142857142857,0.5714285714285714,0.9,5463,5463,0.0,0.0,0.0,0.009518579535054,1.009518579535054,0.0009152480322167307,0.0,276,210,0.0,0.0,0.0
prereg,B4,B4-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p2,210,0.014285714285714285,0.8666666666666667,0.009523809523809525,0.004761904761904762,5266,5266,0.0,0.0,0.0,0.000569692366122294,1.0005696923661223,0.0,2011.5708317508545,276,210,0.0,0.0,0.0
prereg,B4,B4-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p2,210,0.6666666666666666,0.8238095238095238,0.3238095238095238,0.6476190476190476,5522,5521,0.00018109380659181456,0.00018109380659181456,0.00018109380659181456,0.0018109380659181455,1.0018109380659181,0.0010865628395508873,0.0,276,210,0.0036231884057971015,0.0,0.0
prereg,B4,B4-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p2,210,0.7476190476190476,0.9047619047619048,0.4238095238095238,0.7285714285714285,5414,5414,0.0,0.0,0.0,0.003878832656076838,1.0038788326560768,0.0024011821204285187,0.0,276,210,0.0,0.0,0.0
prereg,B4,B4-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p2,210,0.9714285714285714,0.9761904761904762,0.7619047619047619,0.9714285714285714,5460,5459,0.00018315018315018315,0.00018315018315018315,0.00018315018315018315,0.005311355311355312,1.0053113553113553,0.002014652014652015,2911.6441391941394,276,210,0.007246376811594203,0.0,0.0
prereg,B4,B4-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,210,1.0,0.9904761904761905,0.8904761904761904,1.0,4894,4867,0.004290968532897425,0.0038823048630976706,0.004290968532897425,0.031058438904781365,1.0310584389047814,0.002451982018798529,0.0,276,210,0.11231884057971014,0.0,0.0
prereg,B4,B4-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,210,1.0,0.9904761904761905,0.9095238095238095,1.0,4874,4862,0.0018465326220763233,0.0004103405826836274,0.0018465326220763233,0.02379975379565039,1.0237997537956505,0.001436192039392696,0.0,276,210,0.050724637681159424,0.0,0.0
prereg,B4,B4-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p2,210,0.9952380952380953,0.9952380952380953,0.9476190476190476,0.9952380952380953,5588,5587,0.00017895490336435218,0.00017895490336435218,0.00017895490336435218,0.0037580529706513956,1.0037580529706513,0.0008947745168217609,3800.472619899785,276,210,0.007246376811594203,0.0,0.0
prereg,B4,B4-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,210,1.0,0.9952380952380953,0.9476190476190476,1.0,5394,5372,0.0033370411568409346,0.0003707823507601038,0.0033370411568409346,0.03244345569150908,1.0324434556915092,0.002410085279940675,0.0,276,210,0.09057971014492754,0.0,0.0
prereg,B4,B4-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,210,1.0,1.0,0.9142857142857143,1.0,5119,5098,0.0029302598163703846,0.0029302598163703846,0.0029302598163703846,0.021683922641140847,1.021683922641141,0.0009767532721234617,0.0,276,210,0.09057971014492754,0.0,0.0
prereg,B4,M4-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p2,210,0.8857142857142857,0.9285714285714286,0.49047619047619045,0.861904761904762,5514,5508,0.0009067827348567283,0.0,0.0009067827348567283,0.011969532100108813,1.0119695321001088,0.0009067827348567283,0.0,276,210,0.028985507246376812,0.0,0.0
prereg,B4,M4-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p2,210,0.8714285714285714,0.8809523809523809,0.6,0.8523809523809524,5448,5448,0.0,0.00018355359765051394,0.0,0.012114537444933921,1.0121145374449338,0.0005506607929515419,0.0,276,210,0.0,0.0,0.0
prereg,B5,B5-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p3,210,0.07142857142857142,0.8380952380952381,0.03333333333333333,0.05238095238095238,5381,5381,0.0,0.0,0.0,0.002230068760453447,1.0022300687604535,0.0,2534.6387288608066,276,210,0.0,0.0,0.0
prereg,B5,B5-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p3,210,0.9380952380952381,0.9857142857142858,0.8380952380952381,0.9095238095238095,5115,5111,0.0007820136852394917,0.002346041055718475,0.0007820136852394917,0.017595307917888565,1.0175953079178885,0.006647116324535679,0.0,276,210,0.018115942028985508,0.0,0.0
prereg,B5,B5-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,210,0.9476190476190476,0.9380952380952381,0.7380952380952381,0.9428571428571428,5351,5346,0.0005606428704914969,0.0024294524387964865,0.0005606428704914969,0.020930667165015886,1.0209306671650158,0.006353952532236965,0.0,276,210,0.018115942028985508,0.0,0.0
