model,effort,n_vs_llm,n_vs_script,hit_rate_llm,hit_lo,hit_hi,false_alarm_script,fa_lo,fa_hi,discrimination,say_model_rate
DeepSeek,high,1904,2459,0.5052521008403361,0.4828062705117773,0.5276767800727155,0.08946726311508743,0.07881701438125824,0.10139822966854178,0.41578483772524866,0.27091450836580333
DeepSeek,off,3665,4783,0.10695770804911324,0.09736001869253792,0.11737849713763583,0.09073803052477525,0.08292273071290915,0.09921022309111893,0.01621967752433799,0.09777462121212122
MiMo,off,1147,1261,0.5614646904969486,0.5325898312612746,0.589929201766381,0.422680412371134,0.39569021891746997,0.45014027875117085,0.13878427812581456,0.4887873754152824
