model,effort,condition,n_read_decisions,coop_on_read_decision,coop_on_previous_decision,diff,n_noread_decisions,coop_on_noread_decision,coop_prev_of_noread,diff_noread,dd
DeepSeek,high,hidden,8457,0.4519333096842852,0.3947026132198179,0.05723069646446727,22168,0.23939913388668352,0.2979520028870444,-0.05855286900036086,0.11578356546482813
DeepSeek,high,permitted,20480,0.5712890625,0.536376953125,0.034912109375,11444,0.35966445298846556,0.47448444599790285,-0.1148199930094373,0.1497321023844373
DeepSeek,off,forbidden,8270,0.2992744860943168,0.347037484885127,-0.047762998790810196,54220,0.483032091479159,0.4915713758760605,-0.008539284396901492,-0.039223714393908704
DeepSeek,off,hidden,46648,0.3247513291030698,0.33330475047161723,-0.00855342136854742,6995,0.598856325947105,0.6141529664045747,-0.015296640457469701,0.006743219088922281
DeepSeek,off,permitted,49880,0.40890136327185245,0.417121090617482,-0.008219727345629535,2079,0.7676767676767676,0.7994227994227994,-0.031746031746031744,0.02352630440040221
MiMo,off,forbidden,8458,0.6639867580988413,0.528139039962166,0.1358477181366753,54230,0.4918495297805643,0.5197123363451964,-0.027862806564632137,0.16371052470130742
MiMo,off,permitted,3087,0.8117913832199547,0.7793974732750243,0.03239390994493041,1701,0.6278659611992945,0.7142857142857143,-0.0864197530864198,0.11881366303135021
