model,condition,effort,directive,identity,opponent_info,other,n_posts
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,0.32390018008747107,0.0002572678157962439,0.13815281708258298,0.5376897350141497,3887
XiaomiMiMo/MiMo-V2.5-Pro,permitted,off,0.20382165605095542,0.0,0.033121019108280254,0.7630573248407644,785
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,0.047619047619047616,0.0,0.2857142857142857,0.6666666666666666,21
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,0.0012437810945273632,0.0,0.028358208955223882,0.9703980099502487,4020
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,0.0688877755511022,0.0,0.07690380761523045,0.8542084168336673,3992
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,0.002944461366636207,0.0,0.0032490608183571934,0.9938064778150066,9849
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,0.047472864817454226,0.0,0.016007016774476482,0.9365201184080693,9121
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,0.005369642343465337,0.0,0.004410777639275098,0.9902195800172595,10429
