dataset,gap_var,score_state,bin,p_defect,n_sandboxes,n_decisions
prereg,score_gap_at_call,behind,-10..-5,0.6768716798703495,43,47022
prereg,score_gap_at_call,behind,0,0.5962920299747954,43,7356
prereg,score_gap_at_call,behind,0..5,0.7456513771962805,43,3259
prereg,score_gap_at_call,behind,5..10,0.7818904897426576,43,2241
prereg,score_gap_at_call,behind,10..20,0.8542377473975916,42,3180
prereg,score_gap_at_call,behind,>20,0.9059129097837109,41,4954
prereg,within_gap,all,<=-20,0.7478043810575654,62,13970
prereg,within_gap,all,-20..-10,0.7996698375468225,69,29352
prereg,within_gap,all,-10..-5,0.7407913406947486,69,46277
prereg,within_gap,all,0,0.39815043538862394,69,158869
prereg,within_gap,all,0..5,0.686937454513047,69,68182
prereg,within_gap,all,5..10,0.6270206939838111,69,12744
prereg,within_gap,all,10..20,0.7678912421033304,69,11761
prereg,within_gap,all,>20,0.8815314643758336,68,15197
prereg,within_gap,ahead,<=-20,0.6966876462823663,25,10870
prereg,within_gap,ahead,-20..-10,0.6593721888979562,26,13776
prereg,within_gap,ahead,-10..-5,0.5891106068359403,26,12357
prereg,within_gap,ahead,0,0.2996564676591658,26,55016
prereg,within_gap,ahead,0..5,0.7035846971913545,26,21160
prereg,within_gap,ahead,5..10,0.6778411767679526,26,5388
prereg,within_gap,ahead,10..20,0.7796773719020835,26,6261
prereg,within_gap,ahead,>20,0.8979103798458838,26,7063
prereg,within_gap,behind,<=-20,0.7823427153651322,37,3100
prereg,within_gap,behind,-20..-10,0.8845009739391603,43,15576
prereg,within_gap,behind,-10..-5,0.8325052727954233,43,33920
prereg,within_gap,behind,0,0.4577049275041102,43,103853
prereg,within_gap,behind,0..5,0.6768716798703495,43,47022
prereg,within_gap,behind,5..10,0.5962920299747954,43,7356
prereg,within_gap,behind,10..20,0.7607647450157121,43,5500
prereg,within_gap,behind,>20,0.8713921357515166,42,8134
replication,score_gap_at_call,all,<=-20,0.6433029251165628,22,5402
replication,score_gap_at_call,all,-20..-10,0.6675992539245513,24,39504
replication,score_gap_at_call,all,-10..-5,0.8046948139574736,24,17526
replication,score_gap_at_call,all,0,0.7569352140320059,24,6420
replication,score_gap_at_call,all,0..5,0.7623231972248722,24,8674
replication,score_gap_at_call,all,5..10,0.576835290849857,24,28943
replication,score_gap_at_call,all,10..20,0.818570054546886,24,16783
replication,score_gap_at_call,all,>20,0.9048235270334319,24,8346
replication,score_gap_at_call,ahead,<=-20,0.4370302992527244,10,1379
replication,score_gap_at_call,ahead,-20..-10,0.7376907359975288,12,1255
replication,score_gap_at_call,ahead,-10..-5,0.7889346325067742,12,1859
replication,score_gap_at_call,ahead,0,0.799762110886887,12,4085
replication,score_gap_at_call,ahead,0..5,0.7437370361437435,12,7299
replication,score_gap_at_call,ahead,5..10,0.34671747105039646,12,28126
replication,score_gap_at_call,ahead,10..20,0.8114893081341483,12,15559
replication,score_gap_at_call,ahead,>20,0.8999746449918237,12,6222
replication,score_gap_at_call,behind,<=-20,0.8151967800030947,12,4023
replication,score_gap_at_call,behind,-20..-10,0.5975077718515741,12,38249
replication,score_gap_at_call,behind,-10..-5,0.8204549954081731,12,15667
replication,score_gap_at_call,behind,0,0.7141083171771251,12,2335
replication,score_gap_at_call,behind,0..5,0.7809093583060008,12,1375
replication,score_gap_at_call,behind,5..10,0.8069531106493174,12,817
replication,score_gap_at_call,behind,10..20,0.8256508009596236,12,1224
replication,score_gap_at_call,behind,>20,0.9096724090750404,12,2124
replication,within_gap,all,<=-20,0.5964398559285671,21,3320
replication,within_gap,all,-20..-10,0.8262243966304057,24,9281
replication,within_gap,all,-10..-5,0.8131160968390008,24,16820
replication,within_gap,all,0,0.43067344775924576,24,56854
replication,within_gap,all,0..5,0.819442302514268,24,28376
replication,within_gap,all,5..10,0.7458768207931211,24,5185
replication,within_gap,all,10..20,0.8249168125784033,24,4797
replication,within_gap,all,>20,0.9026573388530177,24,6965
replication,within_gap,ahead,<=-20,0.6528913646652822,12,2634
replication,within_gap,ahead,-20..-10,0.8023040467396428,12,5944
replication,within_gap,ahead,-10..-5,0.7437370361437435,12,7299
replication,within_gap,ahead,0,0.34671747105039646,12,28126
replication,within_gap,ahead,0..5,0.818429609620363,12,12709
replication,within_gap,ahead,5..10,0.7776453244091174,12,2850
replication,within_gap,ahead,10..20,0.8602764685544125,12,2605
replication,within_gap,ahead,>20,0.927553434911121,12,3617
replication,within_gap,behind,<=-20,0.5211711776129468,9,686
replication,within_gap,behind,-20..-10,0.8501447465211687,12,3337
replication,within_gap,behind,-10..-5,0.8824951575342581,12,9521
replication,within_gap,behind,0,0.514629424468095,12,28728
replication,within_gap,behind,0..5,0.8204549954081731,12,15667
replication,within_gap,behind,5..10,0.7141083171771251,12,2335
replication,within_gap,behind,10..20,0.7895571566023937,12,2192
replication,within_gap,behind,>20,0.8777612427949143,12,3348
