sandbox,quarter,model,effort,condition,state,block,board_size_at_read,read_rate,post_rate
B2-hidden-off-ahead,2,DeepSeek,off,hidden,ahead,B2,245.5254074784276,0.7714497041420119,0.09985207100591716
B2-hidden-off-ahead,3,DeepSeek,off,hidden,ahead,B2,370.8190376569038,0.7123695976154992,0.08941877794336811
B2-hidden-off-ahead,4,DeepSeek,off,hidden,ahead,B2,543.0242677824268,0.8897989575577067,0.1518987341772152
B2-hidden-off-behind,1,DeepSeek,off,hidden,behind,B2,76.03892733564014,0.7955953200275292,0.10598761183757742
B2-hidden-off-behind,2,DeepSeek,off,hidden,behind,B2,248.56291946308724,0.8618944323933478,0.12364425162689804
B2-hidden-off-behind,3,DeepSeek,off,hidden,behind,B2,400.0697074010327,0.8165846802529867,0.10189739985945186
B2-hidden-off-behind,4,DeepSeek,off,hidden,behind,B2,558.9706375838927,0.8532569792412312,0.12383679312813171
B2-permitted-high-behind,1,DeepSeek,high,permitted,behind,B2,83.41536748329621,0.6284114765570329,0.13925822253324002
B2-permitted-high-behind,2,DeepSeek,high,permitted,behind,B2,314.07142857142856,0.5828996282527881,0.19330855018587362
B2-permitted-high-behind,3,DeepSeek,high,permitted,behind,B2,634.7390776699029,0.6032210834553441,0.2430453879941435
B2-permitted-high-behind,4,DeepSeek,high,permitted,behind,B2,918.7069182389937,0.5888888888888889,0.19703703703703704
B2-permitted-off-ahead,1,DeepSeek,off,permitted,ahead,B2,93.37570394207562,0.9106227106227106,0.11648351648351649
B2-permitted-off-ahead,2,DeepSeek,off,permitted,ahead,B2,211.21574803149608,0.9013484740951029,0.08445706174591909
B2-permitted-off-ahead,3,DeepSeek,off,permitted,ahead,B2,381.0466403162055,0.9532780708364732,0.17181612660135645
B2-permitted-off-ahead,4,DeepSeek,off,permitted,ahead,B2,591.8353221957041,0.9297337278106509,0.1257396449704142
B2-permitted-off-behind,1,DeepSeek,off,permitted,behind,B2,100.98770176787087,0.9651335311572701,0.14169139465875372
B2-permitted-off-behind,2,DeepSeek,off,permitted,behind,B2,235.79384088964926,0.9299920445505171,0.06921241050119331
B2-permitted-off-behind,3,DeepSeek,off,permitted,behind,B2,327.1801801801802,0.9414032382420972,0.08249807247494217
B2-permitted-off-behind,4,DeepSeek,off,permitted,behind,B2,457.06141078838175,0.9571088165210484,0.1254964257347101
B3-forbidden-off-ahead,1,DeepSeek,off,forbidden,ahead,B3,10.597826086956522,0.06779661016949153,0.01694915254237288
B3-forbidden-off-ahead,2,DeepSeek,off,forbidden,ahead,B3,41.758620689655174,0.0849194729136164,0.0314787701317716
B3-forbidden-off-ahead,3,DeepSeek,off,forbidden,ahead,B3,78.51851851851852,0.060810810810810814,0.02252252252252252
