block,paraphrase,ahead,behind,diff_pp,n_games_diff
B1,p1,0.5952380952380952,0.8142857142857143,21.904761904761905,46
B2,p1,0.6095238095238096,0.8,19.047619047619047,40
B3,p2,0.6761904761904762,0.8285714285714286,15.238095238095239,32
B4,p2,0.6666666666666666,0.7476190476190476,8.0952380952381,17
B5,p3,0.9380952380952381,0.9476190476190476,0.952380952380949,2
B6,p3,0.9571428571428572,0.9666666666666667,0.952380952380949,2
