condition,pair_type,coop_all,n,coop_completed
hidden,llm-llm,0.3972515587224838,31436,0.3910184759024262
hidden,llm-script,0.3298461359132766,34316,0.3268693170114469
permitted,llm-llm,0.4597476915073482,30756,0.45191209086632167
permitted,llm-script,0.3719293245939014,35090,0.3670008378354953
