sandbox,sandbox_model,condition,effort,score_state,paraphrase,seat_type,total_score,score_per_round,rounds,coop,n_games,dataset
B5-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,Random,767.0,1.7135046611237088,447.5,0.48504661123708737,23.0,deficit_d30
B5-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,TitForTat,799.5,1.9677033012086482,405.75,0.47582045864323913,23.0,deficit_d30
B6-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,AlwaysDefect,821.0,1.8157947324247632,453.0,0.0,23.0,deficit_d30
B6-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,Grudger,919.0,2.020271509814713,455.5,0.3150846295706244,23.0,deficit_d30
B6-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,LLM,775.75,1.7050255679004473,454.8333333333333,0.23265862244074384,23.0,deficit_d30
B6-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,Pavlov,841.0,1.8314425683117679,461.5,0.6613192096618172,23.0,deficit_d30
B6-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,Random,858.0,1.6874166184692498,509.5,0.4880913823019086,23.0,deficit_d30
B6-forbidden-off-behind-d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,TitForTat,969.5,2.0211808507402345,479.75,0.49638243446957975,23.0,deficit_d30
B1-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,AlwaysDefect,662.5,1.564115441274943,424.5,0.0,23.0,low_arm
B1-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,Grudger,959.5,2.1310477930343565,452.0,0.4376460997505254,23.0,low_arm
B1-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,LLM,811.5,1.8111159912152812,448.6666666666667,0.2661501494765543,23.0,low_arm
B1-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,Pavlov,750.5,1.9735384957845237,382.5,0.7428072567405882,23.0,low_arm
B1-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,Random,655.0,1.4273482021464319,457.5,0.5070077236830686,23.0,low_arm
B1-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,TitForTat,1034.75,2.165067248443061,477.25,0.5768835052073956,23.0,low_arm
B2-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,AlwaysDefect,712.0,1.6088262335274286,446.0,0.0,23.0,low_arm
B2-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,Grudger,709.0,2.1213310890728776,334.5,0.40641888818123917,23.0,low_arm
B2-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,LLM,812.0,1.7848047807429932,456.4166666666667,0.27997017569707106,23.0,low_arm
B2-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,Pavlov,846.0,2.1907392473118277,386.0,0.74875,23.0,low_arm
B2-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,Random,766.0,1.5638333333333332,490.0,0.488625,23.0,low_arm
B2-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p1,TitForTat,936.75,1.9604836001978319,476.5,0.4840602799678776,23.0,low_arm
B3-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,AlwaysDefect,736.5,1.6101331043366252,460.5,0.0,23.0,low_arm
B3-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,Grudger,843.0,1.864958907033835,443.5,0.2887341231721635,23.0,low_arm
B3-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,LLM,768.3333333333334,1.710868400600133,448.75,0.18739712404524742,23.0,low_arm
B3-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,Pavlov,822.0,1.6894705708370306,486.5,0.7050576752440106,23.0,low_arm
B3-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,Random,671.0,1.4367648129939183,469.0,0.5022897774864343,23.0,low_arm
B3-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,TitForTat,974.75,1.9551481831474762,498.5,0.47761700999175943,23.0,low_arm
B4-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,AlwaysDefect,708.0,1.5338209798845797,464.0,0.0,23.0,low_arm
B4-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,Grudger,913.0,1.9947830233667143,458.0,0.3967715784453981,23.0,low_arm
B4-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,LLM,783.0,1.6548811464961295,472.6666666666667,0.17823559796683455,23.0,low_arm
B4-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,Pavlov,842.5,1.867519728593554,451.0,0.7295080758168007,23.0,low_arm
B4-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,Random,808.5,1.530716564505144,528.5,0.4904541706993583,23.0,low_arm
B4-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p2,TitForTat,792.5,1.9186009681973726,413.75,0.46474716083205897,23.0,low_arm
B5-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,AlwaysDefect,774.5,1.6453841724777685,472.5,0.0,23.0,low_arm
B5-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,Grudger,896.5,2.00490257416426,447.0,0.3782865265549844,23.0,low_arm
B5-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,LLM,746.0,1.6331277687967642,455.9166666666667,0.1457550445822863,23.0,low_arm
B5-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,Pavlov,872.0,1.6452337458329485,530.5,0.6741205655106726,23.0,low_arm
B5-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,Random,635.0,1.3497104203429708,473.5,0.45183475860820776,23.0,low_arm
B5-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,TitForTat,863.75,1.9903063238388645,433.0,0.4972742886025114,23.0,low_arm
B6-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,AlwaysDefect,803.5,1.6273769885312617,493.5,0.0,23.0,low_arm
B6-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,Grudger,1078.5,2.02,534.5,0.39234981392876134,23.0,low_arm
B6-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,LLM,732.3333333333334,1.5900298558305561,459.9166666666667,0.15004747947607808,23.0,low_arm
B6-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,Pavlov,790.0,1.6860791943236437,469.5,0.6746761272602426,23.0,low_arm
B6-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,Random,588.0,1.43182565403222,414.5,0.4805786482551312,23.0,low_arm
B6-forbidden-low-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,p3,TitForTat,954.0,1.9829949341577593,481.25,0.49281998569526786,23.0,low_arm
B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,AlwaysDefect,623.5,1.5092496045925838,413.5,0.0,20.5,prereg
B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,Grudger,778.5,1.8291062265366416,424.5,0.31162394206633043,21.0,prereg
B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,LLM,516.25,1.9209525601063782,268.4166666666667,0.2753250318326048,16.0,prereg
B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,Pavlov,671.0,1.7226264760803547,398.0,0.7219918529003276,19.0,prereg
B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,Random,485.5,1.46727427977428,330.0,0.48015666765666765,20.0,prereg
B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,TitForTat,1044.25,2.564825286748221,407.25,0.7559761454646412,19.75,prereg
B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,AlwaysDefect,1175.5,2.307969896983529,511.5,0.0,23.0,prereg
B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,Grudger,1324.5,2.61406333448525,507.0,0.6048820332380384,23.0,prereg
B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,LLM,1015.0833333333334,2.1824206156131942,463.5833333333333,0.6187342810453443,23.0,prereg
B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,Pavlov,1197.5,2.45396243220193,488.0,0.779084374199132,23.0,prereg
B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,Random,958.5,1.9495000840194923,490.5,0.4968408670811628,23.0,prereg
B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,TitForTat,1046.0,2.2861702065056924,456.75,0.6407311357894445,23.0,prereg
B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,AlwaysDefect,696.0,1.6111407551135906,432.0,0.0,23.0,prereg
B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,Grudger,952.5,2.1805076820307283,437.0,0.45976219104876415,23.0,prereg
B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,LLM,852.5,1.9604211914976946,434.9166666666667,0.3682417293815096,23.0,prereg
B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,Pavlov,1233.5,2.296009292666919,537.0,0.7818897172959589,23.0,prereg
B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,Random,696.5,1.5833930163179293,441.0,0.476141404877345,23.0,prereg
B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,TitForTat,1114.0,2.4038652111235637,462.75,0.6787540417175023,23.0,prereg
B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,AlwaysDefect,876.5,1.8390816749037537,476.5,0.0,23.0,prereg
B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,Grudger,1154.5,2.477120102120102,466.5,0.6716477966477967,23.0,prereg
B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,LLM,1092.25,2.421809737614,450.75,0.6565879627579353,23.0,prereg
B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,Pavlov,984.0,2.3826591804338877,415.5,0.8297577752954319,23.0,prereg
B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,Random,810.5,1.689945325695182,480.0,0.5007617837056642,23.0,prereg
B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,TitForTat,1273.75,2.590504707446531,492.0,0.7935918220431866,23.0,prereg
B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,AlwaysDefect,672.0,1.5027788458177498,448.0,0.0,23.0,prereg
B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,Grudger,1104.5,2.2817398085905385,487.5,0.510409690845745,23.0,prereg
B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,LLM,887.75,1.8916566795606578,468.75,0.3583170414960997,23.0,prereg
B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,Pavlov,926.5,2.1048913522509864,440.0,0.7552975823218628,23.0,prereg
B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,Random,713.0,1.6770179800541558,425.0,0.4836756391585312,23.0,prereg
B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,TitForTat,1037.25,2.248037918423063,461.5,0.6303375929367423,23.0,prereg
B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,AlwaysDefect,715.0,1.5283265456386186,467.0,0.0,23.0,prereg
B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,Grudger,1076.5,2.249386964087961,478.5,0.5308495491219744,23.0,prereg
B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,LLM,996.25,2.169852246538482,458.3333333333333,0.47662604949504234,23.0,prereg
B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,Pavlov,1031.5,2.2997038632386593,448.0,0.7952792609543181,23.0,prereg
B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,Random,680.0,1.4895928603748883,456.5,0.4897830000673913,23.0,prereg
B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,TitForTat,1192.25,2.569084509883969,464.0,0.7592222215825544,23.0,prereg
B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,AlwaysDefect,614.0,1.6501596065913209,374.0,0.0,23.0,prereg
B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,Grudger,1032.5,2.5579378774805868,403.5,0.6758535683470972,23.0,prereg
B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,LLM,1047.6666666666667,2.3889964072197114,438.9166666666667,0.6306552084195507,23.0,prereg
