sandbox,diff
B1-absent-high-ahead,0.22149964084291685
B1-absent-off-ahead,-0.16143046666569472
B1-forbidden-high-behind,0.27604509545753775
B1-forbidden-off-ahead,-0.01694602700105796
B1-forbidden-off-behind,0.10741042216567354
B1-hidden-high-behind,0.26382049949085185
B1-hidden-off-ahead,0.054200020434008844
B1-hidden-off-behind,0.06139419916739697
B1-permitted-high-behind,0.2564902298927546
B1-permitted-off-ahead,-0.04170879095629798
B1-permitted-off-behind,0.13874009497871875
B2-forbidden-high-behind,0.23923026876654552
B2-forbidden-off-ahead,-0.08256445868926532
B2-forbidden-off-behind,0.09870740738692807
B2-hidden-high-behind,0.22183454469813768
B2-hidden-off-ahead,0.057158956547443074
B2-hidden-off-behind,0.11950810157953351
B2-permitted-high-behind,0.3430445007021691
B2-permitted-off-ahead,-0.018835953337327238
B2-permitted-off-behind,0.15440590555162292
B3-forbidden-high-behind,0.18124528082708946
B3-forbidden-off-ahead,-0.1197294968341388
B3-forbidden-off-behind,0.00788889513319091
B3-hidden-high-behind,0.12913797435642937
B3-hidden-off-ahead,-0.10288477758515213
B3-hidden-off-behind,0.014069166629152141
B3-permitted-high-behind,0.21295120902520426
B3-permitted-off-ahead,-0.10192239596301844
B3-permitted-off-behind,0.05864978902953588
B4-forbidden-high-behind,0.19262946323729002
B4-forbidden-off-ahead,-0.17856102874754232
B4-forbidden-off-behind,-0.014453891432308685
B4-hidden-high-behind,0.17252358741720453
B4-hidden-off-ahead,-0.12639496098853376
B4-hidden-off-behind,0.06056320657759506
B4-permitted-high-behind,0.23046816742951126
B4-permitted-off-ahead,-0.09754982542492951
B4-permitted-off-behind,0.06040804409553069
B5-forbidden-high-behind,0.18853263977578139
B5-forbidden-off-ahead,-0.0638700431513205
B5-forbidden-off-behind,0.14897943447561768
B5-hidden-high-behind,0.1670173973181006
B5-hidden-off-ahead,-0.41449666898506077
B5-hidden-off-behind,-0.027012694338745202
B5-permitted-high-behind,0.15783129474278246
B5-permitted-off-ahead,-0.3702983056329554
B5-permitted-off-behind,-0.009092952790538567
B6-forbidden-high-behind,0.15472930869093426
B6-forbidden-off-ahead,-0.10444205927767103
B6-forbidden-off-behind,0.08532680589905028
B6-hidden-high-behind,0.11781124777737573
B6-hidden-off-ahead,-0.21883224930065015
B6-hidden-off-behind,0.010897994768962582
B6-permitted-high-behind,0.19463045089639064
B6-permitted-off-ahead,-0.20902424088539717
B6-permitted-off-behind,-0.017148139262478934
M1-forbidden-off-ahead,-0.08443578298184329
M1-forbidden-off-behind,0.31634623320819466
M1-permitted-off-behind,0.4098831120796068
M2-forbidden-off-ahead,0.00099132843595362
M2-forbidden-off-behind,0.3216564739823594
M3-forbidden-off-ahead,0.022438400368206046
M3-forbidden-off-behind,0.29477502976391046
M4-forbidden-off-ahead,-0.038418925976099305
M4-forbidden-off-behind,0.2671463825572015
M5-forbidden-off-ahead,-0.044434625599480304
M5-forbidden-off-behind,0.23147928394668682
M6-forbidden-off-ahead,0.010907624653644143
M6-forbidden-off-behind,0.21403064013557094
