model,effort,condition,posts,mean_chars,names_other_agent,names_opponent,second_person,proposes,reply_marker,names_earlier_poster,directive,identity,opponent_info,other
DeepSeek,high,forbidden,21,90.9047619047619,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.2857142857142857,0.6666666666666666
DeepSeek,high,hidden,3987,364.6468522698771,0.9894657637321295,0.43240531728116377,0.1582643591672937,0.7830448959117131,0.08452470529219965,0.0980687233508904,0.06897416603962879,0.0,0.07725106596438425,0.853774767995987
DeepSeek,high,permitted,9114,322.05069124423966,0.9881500987491771,0.46050032916392364,0.9389949528198376,0.8985077902128593,0.02413868773315778,0.0027430326969497478,0.04707044107965767,0.0,0.015799868334430547,0.9371296905859118
DeepSeek,off,forbidden,4013,30.65063543483678,0.3598305507101919,0.1619735858460005,0.00024919013207077,0.03388985796162472,0.00049838026414154,0.0,0.00124595066035385,0.0,0.02840767505606778,0.9703463742835784
DeepSeek,off,hidden,9849,141.06691034622804,0.982840897553051,0.35841202152502794,0.030561478322672354,0.7781500659965479,0.0034521271195045184,0.0007107320540156361,0.002944461366636207,0.0,0.0032490608183571934,0.9938064778150066
DeepSeek,off,permitted,10429,133.35967015054175,0.9742065394572825,0.3397257646946016,0.03768338287467638,0.7975836609454406,0.0032601399942468116,0.000767091763352191,0.005369642343465337,0.0,0.004410777639275098,0.9902195800172595
MiMo,off,forbidden,3873,135.76736380067132,0.7167570358894914,0.36121869351923575,0.4482313452104312,0.6116705396333592,0.018332042344435837,0.0002581977794990963,0.324296411050865,0.0002581977794990963,0.1386522075910147,0.5367931835786213
MiMo,off,permitted,780,230.23846153846154,0.9576923076923077,0.4858974358974359,0.7564102564102564,0.8858974358974359,0.005128205128205128,0.0,0.20512820512820512,0.0,0.03205128205128205,0.7628205128205128
