dataset,scope,level,n_sandboxes,match_AlwaysCooperate,bestshare_AlwaysCooperate,match_AlwaysDefect,bestshare_AlwaysDefect,match_TitForTat,bestshare_TitForTat,match_Grudger,bestshare_Grudger,match_Pavlov,bestshare_Pavlov,match_TitForTwoTats,bestshare_TitForTwoTats
deficit_d30,all,all,6,0.14784961852690912,0.04589371980676329,0.8521503814730909,0.8442028985507246,0.7100911025208902,0.050120772946859904,0.7418376050952813,0.027777777777777776,0.2508608929473625,0.016908212560386472,0.6064878203182594,0.015096618357487922
deficit_d30,opponent_type,opponent_type=AlwaysDefect,6,0.10586602469173745,0.03472222222222222,0.8941339753082626,0.8888888888888888,0.8107912135570244,0.05555555555555555,0.8107912135570244,0.0,0.133865961374413,0.0,0.7465576990400332,0.020833333333333332
deficit_d30,opponent_type,opponent_type=Grudger,6,0.11856959143663243,0.05555555555555555,0.8814304085633675,0.9097222222222223,0.7668674599721538,0.0,0.7668674599721538,0.0,0.1961730379333706,0.0,0.70780386634915,0.03472222222222222
deficit_d30,opponent_type,opponent_type=LLM,6,0.14279740413499212,0.039141414141414144,0.8572025958650079,0.8194444444444443,0.7587700738124155,0.07702020202020203,0.7597224704459036,0.034090909090909095,0.1992336416928593,0.012626262626262626,0.6729887200019383,0.017676767676767676
deficit_d30,opponent_type,opponent_type=Pavlov,6,0.2318927260253348,0.09027777777777778,0.7681072739746653,0.7847222222222223,0.5152049339932835,0.013888888888888888,0.6801149340508402,0.027777777777777776,0.499608302551846,0.07638888888888888,0.2509352841887446,0.006944444444444444
deficit_d30,opponent_type,opponent_type=Random,6,0.20684033120484757,0.03472222222222222,0.7931596687951524,0.7916666666666666,0.5115408453760752,0.06944444444444443,0.6758584810118742,0.06249999999999999,0.4625717586491716,0.03472222222222222,0.3514651647325782,0.006944444444444444
deficit_d30,opponent_type,opponent_type=TitForTat,6,0.12585810847922294,0.04861111111111111,0.874141891520777,0.9131944444444445,0.6942039100617078,0.006944444444444444,0.7095133912756868,0.020833333333333332,0.24844808953757058,0.006944444444444444,0.6082049796694076,0.003472222222222222
deficit_d30,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,6,0.14784961852690912,0.04589371980676329,0.8521503814730909,0.8442028985507246,0.7100911025208902,0.050120772946859904,0.7418376050952813,0.027777777777777776,0.2508608929473625,0.016908212560386472,0.6064878203182594,0.015096618357487922
deficit_d30,effort,effort=off,6,0.14784961852690912,0.04589371980676329,0.8521503814730909,0.8442028985507246,0.7100911025208902,0.050120772946859904,0.7418376050952813,0.027777777777777776,0.2508608929473625,0.016908212560386472,0.6064878203182594,0.015096618357487922
deficit_d30,score_state,score_state=behind,6,0.14784961852690912,0.04589371980676329,0.8521503814730909,0.8442028985507246,0.7100911025208902,0.050120772946859904,0.7418376050952813,0.027777777777777776,0.2508608929473625,0.016908212560386472,0.6064878203182594,0.015096618357487922
low_arm,all,all,6,0.2424270467042784,0.07125603864734299,0.7575729532957217,0.48429951690821255,0.7311521385450527,0.16425120772946863,0.782514774799262,0.21557971014492752,0.41426278783467363,0.04045893719806763,0.6381031067070343,0.024154589371980676
low_arm,opponent_type,opponent_type=AlwaysDefect,6,0.1411501273831355,0.020833333333333332,0.8588498726168644,0.40277777777777785,0.9053592442345414,0.5763888888888888,0.9053592442345414,0.0,0.25016621596556554,0.0,0.8455658770144397,0.0
low_arm,opponent_type,opponent_type=Grudger,6,0.23757276397934798,0.07638888888888891,0.762427236020652,0.611111111111111,0.7992284143903169,0.1388888888888889,0.7992284143903169,0.0,0.34452212902526,0.027777777777777776,0.7824165327240861,0.14583333333333331
low_arm,opponent_type,opponent_type=LLM,6,0.2243409498489134,0.05555555555555555,0.7756590501510866,0.46212121212121215,0.7641063090022198,0.16287878787878787,0.7933667259905394,0.2866161616161616,0.37916662247558053,0.01388888888888889,0.6729862813795459,0.01893939393939394
low_arm,opponent_type,opponent_type=Pavlov,6,0.33399695421839004,0.10416666666666664,0.66600304578161,0.513888888888889,0.5493985083365476,0.041666666666666664,0.6768473641836873,0.13194444444444445,0.589270409373449,0.19444444444444442,0.3660983144375664,0.013888888888888888
low_arm,opponent_type,opponent_type=Random,6,0.20782349260761615,0.03472222222222222,0.7921765073923838,0.4861111111111111,0.5448031140887991,0.0625,0.7830797193845775,0.38888888888888884,0.5474712995924645,0.027777777777777776,0.3719674031422156,0.0
low_arm,opponent_type,opponent_type=TitForTat,6,0.31674623737084406,0.13888888888888887,0.6832537626291559,0.5069444444444444,0.7034378063528456,0.08680555555555554,0.7354440875252121,0.19097222222222224,0.4735877912631572,0.06944444444444443,0.6353565261125418,0.006944444444444444
low_arm,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,6,0.2424270467042784,0.07125603864734299,0.7575729532957217,0.48429951690821255,0.7311521385450527,0.16425120772946863,0.782514774799262,0.21557971014492752,0.41426278783467363,0.04045893719806763,0.6381031067070343,0.024154589371980676
low_arm,effort,effort=low,6,0.2424270467042784,0.07125603864734299,0.7575729532957217,0.48429951690821255,0.7311521385450527,0.16425120772946863,0.782514774799262,0.21557971014492752,0.41426278783467363,0.04045893719806763,0.6381031067070343,0.024154589371980676
low_arm,score_state,score_state=behind,6,0.2424270467042784,0.07125603864734299,0.7575729532957217,0.48429951690821255,0.7311521385450527,0.16425120772946863,0.782514774799262,0.21557971014492752,0.41426278783467363,0.04045893719806763,0.6381031067070343,0.024154589371980676
prereg,all,all,69,0.44952643368746503,0.2803145201988995,0.5504735663125351,0.33699631646323863,0.7403114883429878,0.1678890372873822,0.7171174697818351,0.1079468727286708,0.535276878249973,0.04968050014567338,0.684246281262558,0.057172753176135474
prereg,opponent_type,opponent_type=AlwaysDefect,69,0.21768174512745933,0.0851449275362319,0.7823182548725407,0.3230676328502416,0.8263321634871867,0.4728260869565216,0.8263321634871867,0.0,0.2882177452012186,0.018115942028985504,0.7871209453737155,0.10084541062801933
prereg,opponent_type,opponent_type=Grudger,69,0.4533800025605527,0.3067632850241546,0.5466199974394474,0.38876811594202904,0.7828896714267075,0.08997584541062803,0.7828896714267075,0.0,0.49496583088932755,0.02536231884057971,0.7759876080973801,0.18913043478260871
prereg,opponent_type,opponent_type=LLM,69,0.4607168576464521,0.2779310061918758,0.5392831423535478,0.32012142446925046,0.7559800800156057,0.1832259527911702,0.7080817544993218,0.13325418542809847,0.5308393827799186,0.04395676786981135,0.7011549701886876,0.04151066324979369
prereg,opponent_type,opponent_type=Pavlov,69,0.5152259226749727,0.3272946859903381,0.4847740773250275,0.38254830917874394,0.6553274190668702,0.04589371980676328,0.7010100457337965,0.09420289855072465,0.668976448499504,0.12047101449275362,0.5341432886348225,0.029589371980676328
prereg,opponent_type,opponent_type=Random,69,0.3510089223958491,0.12117552334943642,0.6489910776041511,0.3061594202898551,0.5915938667911527,0.17572463768115945,0.6927398161946701,0.2864331723027375,0.5678048388539906,0.06582125603864733,0.4678521811052227,0.044685990338164255
prereg,opponent_type,opponent_type=TitForTat,69,0.5491827988757471,0.42718657768380247,0.4508172011242528,0.3570207993774136,0.7492463119646021,0.06979134546202076,0.6743885482636484,0.06401608592866687,0.6080852618538771,0.04995668325918095,0.7227371602978322,0.03202850828891532
prereg,model,model=XiaomiMiMo/MiMo-V2.5-Pro,13,0.5518494667768004,0.35507246376811596,0.4481505332231996,0.2427536231884058,0.6924460476711592,0.15468227424749165,0.5976048622241088,0.06911928651059088,0.5973050187621851,0.07246376811594203,0.6773853508787494,0.10590858416945374
prereg,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,56,0.42577287243458356,0.2629599975846172,0.5742271275654165,0.3588740845448962,0.7514231084989479,0.17095489299307107,0.7448614679648786,0.11696041952929648,0.5208774884882096,0.04439152722400387,0.6858389972445137,0.04585907812411516
prereg,effort,effort=high,19,0.41037168389127837,0.1942615509139399,0.5896283161087217,0.27675198488923036,0.7638358797612972,0.2142697319703575,0.7628991357156565,0.20047503020483612,0.5370675430508708,0.06441946861759286,0.6989547890183947,0.04982223340404328
prereg,effort,effort=off,50,0.4644052386100159,0.31301464852718425,0.535594761389984,0.3598891624613617,0.7313722196040302,0.15026437330785158,0.6997204367269829,0.07278617288772794,0.5345964256256319,0.04407969212634399,0.6786570483153401,0.05996595068953051
prereg,score_state,score_state=ahead,26,0.49519272418183563,0.3529185199707606,0.5048072758181644,0.35530420292850723,0.7195552333867965,0.12809445838909927,0.678840457908714,0.047800671196708465,0.5568612098294939,0.04862804638135425,0.6762016082014788,0.0672541011335701
prereg,score_state,score_state=behind,43,0.421914258039706,0.23641442731358808,0.5780857419602938,0.32592643162377394,0.752861782037429,0.19195087569099512,0.7402617095190711,0.14431434342241545,0.5222258870623557,0.05031686753805239,0.6891105021832107,0.051077054411175
replication,all,all,24,0.4047339153449143,0.25826347015056944,0.5952660846550857,0.41885292147113784,0.7759669836595635,0.18515065763955008,0.7788831915845048,0.07988976162770196,0.4950742370057743,0.025677474523079096,0.7008852010927352,0.03216571458796149
replication,opponent_type,opponent_type=AlwaysDefect,24,0.19391039584092307,0.09375,0.8060896041590769,0.3993055555555556,0.8295454873234016,0.4236111111111111,0.8295454873234016,0.0,0.2432218290499993,0.020833333333333332,0.7735779689894741,0.0625
replication,opponent_type,opponent_type=Grudger,24,0.44325746557918927,0.3524305555555556,0.5567425344208107,0.4947916666666667,0.7877808655994555,0.07291666666666667,0.7877808655994555,0.0,0.47127020969940875,0.01909722222222222,0.7630413694111059,0.06076388888888889
replication,opponent_type,opponent_type=LLM,24,0.44111428317768914,0.2644133644133644,0.5588857168223108,0.35745435120435126,0.8163500826764247,0.239767871017871,0.7767934947620404,0.07802059052059052,0.49511480279287684,0.021178127428127427,0.7586458479372894,0.039165695415695416
replication,opponent_type,opponent_type=Pavlov,24,0.4491791165034645,0.3211805555555556,0.5508208834965355,0.5173611111111112,0.6575640173016826,0.022569444444444444,0.7740899192282878,0.07118055555555555,0.6597305549451735,0.06076388888888889,0.46353525379657706,0.006944444444444444
