cut,level,n_games,n_correct,accuracy,ci_lo,ci_hi
opponent_type,LLM,6716,1998,0.29749851101846336,0.28668309995627733,0.3085454542405954
opponent_type,Random,1309,884,0.6753246753246753,0.6494767029549354,0.7001465874709621
opponent_type,TitForTat,2797,2406,0.860207365033965,0.8468611335579264,0.8725654844985893
opponent_type,Pavlov,1429,1257,0.8796361091672499,0.8617392270015556,0.8954973021444437
opponent_type,Grudger,1473,1323,0.8981670061099797,0.8816720200649697,0.9125905467533
opponent_type,AlwaysDefect,1495,1446,0.9672240802675586,0.9569333320608745,0.9751197948339222
