model,condition,unit,variant,contrast,block,paraphrase,hi_sandbox,lo_sandbox,hi_seed,lo_seed,hi_rate,lo_rate,difference_pp
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,reported_final,B,B1,p1,M1-forbidden-off-behind,M1-forbidden-off-ahead,110,109,0.9456521739130435,0.9384057971014492,0.7246376811594235
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,reported_final,B,B2,p1,M2-forbidden-off-behind,M2-forbidden-off-ahead,210,209,0.9239130434782609,0.9021739130434783,2.1739130434782594
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,reported_final,B,B3,p2,M3-forbidden-off-behind,M3-forbidden-off-ahead,310,309,0.9239130434782609,0.855072463768116,6.8840579710144905
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,reported_final,B,B4,p2,M4-forbidden-off-behind,M4-forbidden-off-ahead,410,409,0.8586956521739131,0.822463768115942,3.6231884057971064
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,reported_final,B,B5,p3,M5-forbidden-off-behind,M5-forbidden-off-ahead,510,509,0.9021739130434783,0.8514492753623188,5.072463768115942
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,reported_final,B,B6,p3,M6-forbidden-off-behind,M6-forbidden-off-ahead,610,609,0.9021739130434783,0.8369565217391305,6.521739130434778
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,round1,B,B1,p1,M1-forbidden-off-behind,M1-forbidden-off-ahead,110,109,0.3804347826086957,0.4927536231884058,-11.231884057971014
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,round1,B,B2,p1,M2-forbidden-off-behind,M2-forbidden-off-ahead,210,209,0.4166666666666667,0.4891304347826087,-7.246376811594201
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,round1,B,B3,p2,M3-forbidden-off-behind,M3-forbidden-off-ahead,310,309,0.2463768115942029,0.213768115942029,3.260869565217392
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,round1,B,B4,p2,M4-forbidden-off-behind,M4-forbidden-off-ahead,410,409,0.2246376811594203,0.15942028985507245,6.521739130434784
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,round1,B,B5,p3,M5-forbidden-off-behind,M5-forbidden-off-ahead,510,509,0.14130434782608695,0.14130434782608695,0.0
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,round1,B,B6,p3,M6-forbidden-off-behind,M6-forbidden-off-ahead,610,609,0.13768115942028986,0.16304347826086957,-2.536231884057971
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,any,B,B1,p1,M1-forbidden-off-behind,M1-forbidden-off-ahead,110,109,0.9476190476190476,0.9523809523809523,-0.4761904761904745
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,any,B,B2,p1,M2-forbidden-off-behind,M2-forbidden-off-ahead,210,209,0.9571428571428572,0.919047619047619,3.809523809523818
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,any,B,B3,p2,M3-forbidden-off-behind,M3-forbidden-off-ahead,310,309,0.9476190476190476,0.8809523809523809,6.666666666666665
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,any,B,B4,p2,M4-forbidden-off-behind,M4-forbidden-off-ahead,410,409,0.8714285714285714,0.8857142857142857,-1.4285714285714235
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,any,B,B5,p3,M5-forbidden-off-behind,M5-forbidden-off-ahead,510,509,0.919047619047619,0.8857142857142857,3.3333333333333326
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,any,B,B6,p3,M6-forbidden-off-behind,M6-forbidden-off-ahead,610,609,0.9238095238095239,0.8904761904761904,3.3333333333333437
