condition,n_sandboxes,mean_abort_768,mean_abort_4096,mean_coop_768,mean_coop_4096,mean_d_coop,n_positive,sign_flip_p
hidden,12,0.13492063492063489,0.01984126984126979,0.3571847609182202,0.37578398980805544,0.01859922888983531,7,0.32861328125
permitted,12,0.15158730158730158,0.025396825396825348,0.41537590506135696,0.42408593779931275,0.008710032737955786,6,0.79833984375
