sandbox,total_calls,chi2,df,p,rate_min,rate_max,rate_cv,model,effort,condition
B1-forbidden-off-ahead,398,33.69858979423251,11,0.0004050962937754114,0.042735042735042736,0.10411622276029056,0.3001891625906049,DeepSeek,off,forbidden
B1-forbidden-off-behind,608,8.10743073195256,11,0.7036492315761789,0.08676789587852494,0.13453815261044177,0.12011754707154447,DeepSeek,off,forbidden
B1-hidden-high-behind,2440,18.698334666572233,11,0.06672813771865585,0.36027713625866054,0.5069124423963134,0.09311884841814246,DeepSeek,high,hidden
B1-hidden-off-ahead,4943,30.17734900323184,11,0.0014860773504733434,0.7703549060542797,1.0328227571115973,0.07991633160601151,DeepSeek,off,hidden
B1-hidden-off-behind,6098,9.08290517975812,11,0.6142399159718992,0.9790575916230366,1.1623246492985972,0.04205219974311504,DeepSeek,off,hidden
B1-permitted-high-behind,4630,16.305092572111818,11,0.13017702467277506,0.7316561844863732,0.9272300469483568,0.06374747489972153,DeepSeek,high,permitted
B1-permitted-off-ahead,5709,5.581398936875904,11,0.899785413679095,1.0359897172236503,1.158878504672897,0.03275712822609643,DeepSeek,off,permitted
B1-permitted-off-behind,6110,5.504676329182681,11,0.9042894954200862,1.0948275862068966,1.2352941176470589,0.03218257587592201,DeepSeek,off,permitted
B2-forbidden-off-ahead,425,43.25831123668995,11,9.792123051460742e-06,0.021367521367521368,0.1223175965665236,0.34213062262769556,DeepSeek,off,forbidden
B2-forbidden-off-behind,618,22.654642784382876,11,0.019764828222084255,0.07738095238095238,0.14425427872860636,0.19772011295233952,DeepSeek,off,forbidden
B2-hidden-high-behind,2358,27.997337207147584,11,0.00324038583385723,0.39592760180995473,0.5480093676814989,0.11415427337237764,DeepSeek,high,hidden
B2-hidden-off-ahead,5252,10.738732065136967,11,0.4654040407746922,0.906187624750499,1.081012658227848,0.04805653945574819,DeepSeek,off,hidden
B2-hidden-off-behind,5807,15.069473034190604,11,0.17933846549286947,0.9558823529411765,1.124113475177305,0.051640862994036064,DeepSeek,off,hidden
B2-permitted-high-behind,4390,15.596042993454605,11,0.15680243885748402,0.6970873786407767,0.8926174496644296,0.06098267695258979,DeepSeek,high,permitted
B2-permitted-off-ahead,5956,10.7836170116188,11,0.46156531600252737,0.9893048128342246,1.178117048346056,0.043014449626335674,DeepSeek,off,permitted
B2-permitted-off-behind,5683,4.293155894804022,11,0.9605438048297641,1.040485829959514,1.1360544217687074,0.028134373681281247,DeepSeek,off,permitted
B3-forbidden-off-ahead,462,18.163638539121806,11,0.07786046642138753,0.04943820224719101,0.10377358490566038,0.20989597712014424,DeepSeek,off,forbidden
B3-forbidden-off-behind,870,21.238773926062947,11,0.03098000275583114,0.11578947368421053,0.1962025316455696,0.1649871985686473,DeepSeek,off,forbidden
B3-hidden-high-behind,2111,16.99703345583709,11,0.1079633666686524,0.3404255319148936,0.4642857142857143,0.09246529953862666,DeepSeek,high,hidden
B3-hidden-off-ahead,5903,19.972661398000003,11,0.04571701208689928,0.9978308026030369,1.1972789115646258,0.060304301010558635,DeepSeek,off,hidden
B3-hidden-off-behind,5821,6.738591233577861,11,0.819840596332775,1.1925601750547046,1.3324607329842932,0.03449687356621172,DeepSeek,off,hidden
B3-permitted-high-behind,5422,19.75991662503823,11,0.048743957550743434,0.8661417322834646,1.0945558739255015,0.06421580242218128,DeepSeek,high,permitted
B3-permitted-off-ahead,6389,7.9069538784265845,11,0.721613754752513,1.273209549071618,1.4477124183006536,0.03806381232441522,DeepSeek,off,permitted
B3-permitted-off-behind,6803,4.796465276959206,11,0.9406212989931438,1.3242009132420092,1.4337349397590362,0.027763399405083187,DeepSeek,off,permitted
B4-forbidden-off-ahead,463,29.79526197682457,11,0.0017061978974683113,0.0380952380952381,0.12351543942992874,0.2580956818853788,DeepSeek,off,forbidden
B4-forbidden-off-behind,691,36.608024373518326,11,0.00013401479440933663,0.08782435129740519,0.1976470588235294,0.24140562075413732,DeepSeek,off,forbidden
B4-hidden-high-behind,2230,20.543855016856497,11,0.038416772410274545,0.3359375,0.47651006711409394,0.09802481655505427,DeepSeek,high,hidden
B4-hidden-off-ahead,5498,24.08560949054153,11,0.01237706678420521,1.002202643171806,1.2763975155279503,0.07097508855643749,DeepSeek,off,hidden
B4-hidden-off-behind,5787,18.27812004196135,11,0.07534757413897568,1.0520094562647755,1.2823218997361479,0.0587902000558737,DeepSeek,off,hidden
B4-permitted-high-behind,5370,24.155116807177535,11,0.012094855955829131,0.8189300411522634,1.0694444444444444,0.07011195843169485,DeepSeek,high,permitted
B4-permitted-off-ahead,6836,8.036785190209391,11,0.7100049175920844,1.1823056300268096,1.3436213991769548,0.03645917899180054,DeepSeek,off,permitted
B4-permitted-off-behind,6749,7.166242746707087,11,0.7854654151242138,1.2305389221556886,1.3734335839598997,0.035082981727325865,DeepSeek,off,permitted
B5-forbidden-off-ahead,2136,8.55459738846137,11,0.662929715471563,0.3536231884057971,0.44717444717444715,0.06920491520697758,DeepSeek,off,forbidden
B5-forbidden-off-behind,2295,23.014654394297274,11,0.01759120996930194,0.33101851851851855,0.497737556561086,0.10419036583477506,DeepSeek,off,forbidden
B5-hidden-high-behind,2079,12.878737400104786,11,0.30132494601639465,0.34192037470725994,0.45,0.08155593895243918,DeepSeek,high,hidden
B5-hidden-off-ahead,5270,2.668062465900185,11,0.9944258130428056,1.3061797752808988,1.4054794520547946,0.023123807943915227,DeepSeek,off,hidden
B5-hidden-off-behind,4915,2.8454912009961,11,0.9926141566593889,1.2766666666666666,1.389344262295082,0.02541265205240601,DeepSeek,off,hidden
B5-permitted-high-behind,5630,18.169667178685962,11,0.0777263147176758,0.8498896247240618,1.077079107505071,0.05999381911404616,DeepSeek,high,permitted
B5-permitted-off-ahead,5534,2.21778122157362,11,0.9975728388669031,1.2779661016949153,1.3799283154121864,0.02180501805816106,DeepSeek,off,permitted
