dataset,outcome,mean_AllD_Grudger,mean_rest,mean_diff,n_pos,k,p_signflip
deficit_d30,own_coop_played,0.11221780806418492,0.15535105230853527,-0.04313324424435031,0,6,0.0299
deficit_d30,spr,1.137880011928034,1.7429636901091434,-0.6050836781811098,0,6,0.0299
deficit_d30,opp_spr,1.3650862985043741,1.2956831183779782,0.0694031801263957,5,6,0.156
deficit_d30,round1_coop,0.09375,0.12353801169590643,-0.02978801169590643,1,6,0.06112
deficit_d30,retaliation_rate,0.9081084665866838,0.8721151301871114,0.03599333639957216,6,6,0.0299
deficit_d30,forgiveness_rate,0.11850649350649352,0.2048320158691301,-0.08632552236263662,0,6,0.0299
deficit_d30,mutual_D,0.838014024190347,0.670201889310356,0.1678121348799911,6,6,0.0299
deficit_d30,nice,0.0625,0.07383040935672515,-0.01133040935672514,1,6,0.46835
low_arm,own_coop_played,0.18936144568124172,0.2535987521828124,-0.06423730650157065,0,6,0.0299
low_arm,spr,1.155928389018756,1.9356784429224305,-0.7797500539036751,0,6,0.0299
low_arm,opp_spr,1.5824290863039217,1.5354376297429784,0.046991456560943244,5,6,0.09286
low_arm,round1_coop,0.5902777777777778,0.6176900584795322,-0.027412280701754416,2,6,0.53166
low_arm,retaliation_rate,0.8998479919556486,0.8395260032262625,0.0603219887293864,6,6,0.0299
low_arm,forgiveness_rate,0.20727225672877847,0.19585590883514994,0.011416347893628503,3,6,0.7496
low_arm,mutual_D,0.7775326382913864,0.5580647971680531,0.2194678411233335,6,6,0.0299
low_arm,nice,0.3263888888888889,0.2697368421052631,0.05665204678362574,4,6,0.28352
prereg,own_coop_played,0.33553424528231995,0.473636799651706,-0.13810255436938595,6,69,1e-05
prereg,spr,1.2697171051725333,2.102065958544325,-0.8323488533717921,2,69,1e-05
prereg,opp_spr,1.9452715801991545,1.8808780955422764,0.06439348465687791,29,69,0.24633
prereg,round1_coop,0.6500603864734299,0.6409072152021988,0.00915317127123109,38,69,0.27204
prereg,retaliation_rate,0.8181386887691416,0.711219283691517,0.10691940507762453,60,69,1e-05
prereg,forgiveness_rate,0.3705298758409511,0.3603751670011863,0.010154708839764767,36,69,0.58808
prereg,mutual_D,0.6285396591290271,0.3655327519934256,0.2630069071356015,67,69,1e-05
prereg,nice,0.43931159420289856,0.3838404021304446,0.055471192072453934,52,69,1e-05
replication,own_coop_played,0.3185839307100562,0.42287847910681053,-0.10429454839675438,5,24,4e-05
replication,spr,1.305730252275321,2.12171438097428,-0.8159841286989592,0,24,1e-05
replication,opp_spr,1.8737937069505222,1.790424225717872,0.08336948123264998,12,24,0.19991
replication,round1_coop,0.5373263888888888,0.5532639212337629,-0.015937532344873984,9,24,0.19093
replication,retaliation_rate,0.8504210662243153,0.8210905111590506,0.02933055506526477,14,24,0.13517
replication,forgiveness_rate,0.19127465479367656,0.29585201771168385,-0.10457736291800727,5,24,0.00096
replication,mutual_D,0.6446755652687409,0.4300712183989101,0.21460434686983074,24,24,1e-05
replication,nice,0.40798611111111116,0.38925923769600984,0.018726873415101184,14,24,0.15388
