dataset,opponent_type,llm_spr,n_sandboxes,base_TitForTat,llm_minus_TitForTat,n_above_TitForTat,base_Random,llm_minus_Random,n_above_Random,base_AlwaysDefect,llm_minus_AlwaysDefect,n_above_AlwaysDefect,base_Grudger,llm_minus_Grudger,n_above_Grudger,base_Pavlov,llm_minus_Pavlov,n_above_Pavlov
deficit_d30,AlwaysDefect,0.8941339753082626,6,0.9486991701084815,-0.05456519480021893,3,0.4929341850597213,0.40119979024854124,6,1.0,-0.10586602469173745,0,0.9510254094443983,-0.05689143413613573,3,0.4927170056525572,0.40141696965570534,6
deficit_d30,Grudger,1.381626048547805,6,3.0,-1.618373951452195,0,0.8435370814679042,0.5380889670799007,6,1.2097109532036665,0.1719150953441384,5,3.0,-1.618373951452195,0,3.0,-1.618373951452195,0
deficit_d30,LLM,1.360918109751502,6,3.0,-1.639081890248498,0,2.2519211521328453,-0.8910030423813433,0,1.0,0.36091810975150196,6,3.0,-1.639081890248498,0,3.0,-1.639081890248498,0
deficit_d30,Pavlov,2.8636373314690347,6,3.0,-0.13636266853096535,2,2.362609714498479,0.5010276169705556,6,3.0305746060400156,-0.16693727457098095,2,3.0,-0.13636266853096535,2,3.0,-0.13636266853096535,2
deficit_d30,Random,2.658139343529212,6,2.210875464838656,0.44726387869055584,6,2.245825220725039,0.4123141228041729,6,3.0222997719475924,-0.36416042841838037,1,2.8755075575108875,-0.2173682139816755,1,2.212713900715395,0.4454254428138169,6
deficit_d30,TitForTat,1.7756643887026773,6,3.0,-1.2243356112973227,0,2.3403615582133024,-0.5646971695106251,0,1.199272906669724,0.5763914820329532,6,3.0,-1.2243356112973227,0,3.0,-1.2243356112973227,0
low_arm,AlwaysDefect,0.8588498726168644,6,0.9486991701084815,-0.08984929749161708,0,0.4929341850597213,0.3659156875571431,6,1.0,-0.1411501273831356,0,0.9510254094443983,-0.09217553682753388,0,0.4927170056525572,0.3661328669643072,6
low_arm,Grudger,1.453006905420647,6,3.0,-1.546993094579353,0,0.8435370814679042,0.6094698239527427,6,1.2097109532036665,0.24329595221698042,5,3.0,-1.546993094579353,0,3.0,-1.546993094579353,0
low_arm,LLM,1.56900745367534,6,3.0,-1.43099254632466,0,2.2519211521328453,-0.6829136984575053,0,1.0,0.56900745367534,6,3.0,-1.43099254632466,0,3.0,-1.43099254632466,0
low_arm,Pavlov,2.97929640908476,6,3.0,-0.02070359091523999,2,2.362609714498479,0.616686694586281,6,3.0305746060400156,-0.051278196955255595,2,3.0,-0.02070359091523999,2,3.0,-0.02070359091523999,2
low_arm,Random,2.658180301718663,6,2.210875464838656,0.447304836880007,6,2.245825220725039,0.41235508099362406,6,3.0222997719475924,-0.3641194702289292,0,2.8755075575108875,-0.21732725579222434,0,2.212713900715395,0.44546640100326806,6
low_arm,TitForTat,2.06096375087265,6,3.0,-0.9390362491273501,0,2.3403615582133024,-0.27939780734065245,0,1.199272906669724,0.8616908442029259,6,3.0,-0.9390362491273501,0,3.0,-0.9390362491273501,0
prereg,AlwaysDefect,0.7695460911365771,69,0.9486991701084815,-0.17915307897190436,0,0.4929341850597213,0.2766119060768558,69,1.0,-0.23045390886342287,0,0.9510254094443983,-0.18147931830782116,0,0.4927170056525572,0.2768290854840199,69
prereg,Grudger,1.7697972741941104,69,3.0,-1.2302027258058896,0,0.8435370814679042,0.9262601927262062,68,1.2097109532036665,0.5600863209904439,62,3.0,-1.2302027258058896,0,3.0,-1.2302027258058896,0
