model,effort,n,scored_correct,names_board,denies,prohibition_language,no_answer
XiaomiMiMo/MiMo-V2.5-Pro,off,3292,0.49605103280680435,0.675273390036452,0.18772782503037666,0.7904009720534629,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,high,1656,0.9969806763285024,0.9975845410628019,0.0,0.9818840579710145,0.0024154589371980675
deepseek-ai/DeepSeek-V4-Flash-0731,off,3279,0.9063738944800244,0.9807868252516011,0.09088136627020434,0.9954254345837146,0.0
