condition,board_ahead,board_behind,decoy_ahead,decoy_behind,board_RR,decoy_RR
absent,0.0,,0.0,,,
forbidden,0.1567310640907697,0.18388068695390178,0.3969947868751917,0.47667972280807475,1.1732242617035291,1.200720358471444
hidden,0.856564130733315,0.8978689761742192,0.6211892337269981,0.6594314874043196,1.0482215446093248,1.061562969222561
permitted,0.9533673289959557,0.9714807634953773,0.676595744680851,0.7269236504622726,1.0189994286027169,1.0743840116895225
