baseline,seed,seat_type,opp_seat_type,score,rounds,score_per_round,coop
TitForTat,15,Grudger,AlwaysDefect,94,98,0.9591836734693877,0.04081632653061224
TitForTat,15,AlwaysDefect,Grudger,114,98,1.163265306122449,0.0
TitForTat,15,Grudger,Random,194,78,2.4871794871794872,0.10256410256410256
TitForTat,15,Random,Grudger,74,78,0.9487179487179487,0.41025641025641024
TitForTat,15,Grudger,Pavlov,300,100,3.0,1.0
TitForTat,15,Pavlov,Grudger,300,100,3.0,1.0
TitForTat,15,AlwaysDefect,AlwaysDefect,60,60,1.0,0.0
TitForTat,15,AlwaysDefect,Random,318,106,3.0,0.0
TitForTat,15,Random,AlwaysDefect,53,106,0.5,0.5
TitForTat,15,AlwaysDefect,Pavlov,246,82,3.0,0.0
TitForTat,15,Pavlov,AlwaysDefect,41,82,0.5,0.5
TitForTat,15,Random,Random,143,60,2.3833333333333333,0.5833333333333334
TitForTat,15,Random,Pavlov,240,101,2.376237623762376,0.5148514851485149
TitForTat,15,Pavlov,Random,225,101,2.227722772277228,0.5445544554455446
TitForTat,15,Pavlov,Pavlov,30,10,3.0,1.0
TitForTat,16,SEAT,SEAT,7230,2410,3.0,1.0
TitForTat,16,SEAT,TitForTat,3024,1008,3.0,1.0
TitForTat,16,TitForTat,SEAT,3024,1008,3.0,1.0
TitForTat,16,SEAT,Grudger,1554,518,3.0,1.0
TitForTat,16,Grudger,SEAT,1554,518,3.0,1.0
TitForTat,16,SEAT,AlwaysDefect,426,450,0.9466666666666667,0.05333333333333334
TitForTat,16,AlwaysDefect,SEAT,546,450,1.2133333333333334,0.0
TitForTat,16,SEAT,Random,948,440,2.1545454545454548,0.5136363636363637
TitForTat,16,Random,SEAT,1018,440,2.3136363636363635,0.4818181818181818
TitForTat,16,SEAT,Pavlov,1461,487,3.0,1.0
TitForTat,16,Pavlov,SEAT,1461,487,3.0,1.0
TitForTat,16,TitForTat,TitForTat,918,306,3.0,1.0
TitForTat,16,TitForTat,Grudger,567,189,3.0,1.0
TitForTat,16,Grudger,TitForTat,567,189,3.0,1.0
TitForTat,16,TitForTat,AlwaysDefect,106,114,0.9298245614035088,0.07017543859649122
TitForTat,16,AlwaysDefect,TitForTat,146,114,1.280701754385965,0.0
TitForTat,16,TitForTat,Random,433,187,2.3155080213903743,0.5668449197860963
TitForTat,16,Random,TitForTat,453,187,2.4224598930481283,0.5454545454545454
TitForTat,16,TitForTat,Pavlov,606,202,3.0,1.0
TitForTat,16,Pavlov,TitForTat,606,202,3.0,1.0
TitForTat,16,Grudger,Grudger,6,2,3.0,1.0
TitForTat,16,Grudger,AlwaysDefect,92,96,0.9583333333333334,0.041666666666666664
TitForTat,16,AlwaysDefect,Grudger,112,96,1.1666666666666667,0.0
TitForTat,16,Grudger,Random,231,80,2.8875,0.075
TitForTat,16,Random,Grudger,61,80,0.7625,0.5
TitForTat,16,Grudger,Pavlov,192,64,3.0,1.0
TitForTat,16,Pavlov,Grudger,192,64,3.0,1.0
TitForTat,16,AlwaysDefect,AlwaysDefect,16,16,1.0,0.0
TitForTat,16,AlwaysDefect,Random,176,64,2.75,0.0
TitForTat,16,Random,AlwaysDefect,36,64,0.5625,0.4375
TitForTat,16,AlwaysDefect,Pavlov,250,82,3.048780487804878,0.0
TitForTat,16,Pavlov,AlwaysDefect,40,82,0.4878048780487805,0.5121951219512195
TitForTat,16,Random,Random,144,60,2.4,0.5666666666666667
TitForTat,16,Random,Pavlov,178,70,2.5428571428571427,0.5142857142857142
TitForTat,16,Pavlov,Random,148,70,2.1142857142857143,0.6
TitForTat,16,Pavlov,Pavlov,54,18,3.0,1.0
TitForTat,17,SEAT,SEAT,7356,2452,3.0,1.0
TitForTat,17,SEAT,TitForTat,3279,1093,3.0,1.0
TitForTat,17,TitForTat,SEAT,3279,1093,3.0,1.0
TitForTat,17,SEAT,Grudger,1479,493,3.0,1.0
TitForTat,17,Grudger,SEAT,1479,493,3.0,1.0
TitForTat,17,SEAT,AlwaysDefect,392,416,0.9423076923076923,0.057692307692307696
TitForTat,17,AlwaysDefect,SEAT,512,416,1.2307692307692308,0.0
TitForTat,17,SEAT,Random,1335,604,2.2102649006622515,0.5248344370860927
TitForTat,17,Random,SEAT,1400,604,2.3178807947019866,0.5033112582781457
TitForTat,17,SEAT,Pavlov,1242,414,3.0,1.0
TitForTat,17,Pavlov,SEAT,1242,414,3.0,1.0
TitForTat,17,TitForTat,TitForTat,894,298,3.0,1.0
TitForTat,17,TitForTat,Grudger,423,141,3.0,1.0
TitForTat,17,Grudger,TitForTat,423,141,3.0,1.0
TitForTat,17,TitForTat,AlwaysDefect,184,192,0.9583333333333334,0.041666666666666664
TitForTat,17,AlwaysDefect,TitForTat,224,192,1.1666666666666667,0.0
TitForTat,17,TitForTat,Random,433,194,2.231958762886598,0.5360824742268041
TitForTat,17,Random,TitForTat,458,194,2.3608247422680413,0.5103092783505154
TitForTat,17,TitForTat,Pavlov,609,203,3.0,1.0
TitForTat,17,Pavlov,TitForTat,609,203,3.0,1.0
TitForTat,17,Grudger,Grudger,30,10,3.0,1.0
TitForTat,17,Grudger,AlwaysDefect,62,66,0.9393939393939394,0.06060606060606061
TitForTat,17,AlwaysDefect,Grudger,82,66,1.2424242424242424,0.0
TitForTat,17,Grudger,Random,298,96,3.1041666666666665,0.052083333333333336
TitForTat,17,Random,Grudger,63,96,0.65625,0.5416666666666666
TitForTat,17,Grudger,Pavlov,156,52,3.0,1.0
TitForTat,17,Pavlov,Grudger,156,52,3.0,1.0
TitForTat,17,AlwaysDefect,AlwaysDefect,60,60,1.0,0.0
TitForTat,17,AlwaysDefect,Random,323,119,2.7142857142857144,0.0
TitForTat,17,Random,AlwaysDefect,68,119,0.5714285714285714,0.42857142857142855
TitForTat,17,AlwaysDefect,Pavlov,226,74,3.054054054054054,0.0
TitForTat,17,Pavlov,AlwaysDefect,36,74,0.4864864864864865,0.5135135135135135
TitForTat,17,Random,Random,136,60,2.2666666666666666,0.5333333333333333
TitForTat,17,Random,Pavlov,230,92,2.5,0.358695652173913
TitForTat,17,Pavlov,Random,160,92,1.7391304347826086,0.5108695652173914
TitForTat,17,Pavlov,Pavlov,180,60,3.0,1.0
TitForTat,18,SEAT,SEAT,7290,2430,3.0,1.0
TitForTat,18,SEAT,TitForTat,3342,1114,3.0,1.0
TitForTat,18,TitForTat,SEAT,3342,1114,3.0,1.0
TitForTat,18,SEAT,Grudger,1245,415,3.0,1.0
TitForTat,18,Grudger,SEAT,1245,415,3.0,1.0
TitForTat,18,SEAT,AlwaysDefect,522,546,0.9560439560439561,0.04395604395604396
TitForTat,18,AlwaysDefect,SEAT,642,546,1.1758241758241759,0.0
TitForTat,18,SEAT,Random,966,436,2.2155963302752295,0.5665137614678899
TitForTat,18,Random,SEAT,1051,436,2.4105504587155964,0.5275229357798165
TitForTat,18,SEAT,Pavlov,1404,468,3.0,1.0
TitForTat,18,Pavlov,SEAT,1404,468,3.0,1.0
TitForTat,18,TitForTat,TitForTat,330,110,3.0,1.0
TitForTat,18,TitForTat,Grudger,618,206,3.0,1.0
TitForTat,18,Grudger,TitForTat,618,206,3.0,1.0
TitForTat,18,TitForTat,AlwaysDefect,184,192,0.9583333333333334,0.041666666666666664
TitForTat,18,AlwaysDefect,TitForTat,224,192,1.1666666666666667,0.0
TitForTat,18,TitForTat,Random,329,145,2.268965517241379,0.5517241379310345
TitForTat,18,Random,TitForTat,349,145,2.406896551724138,0.5241379310344828
TitForTat,18,TitForTat,Pavlov,396,132,3.0,1.0
TitForTat,18,Pavlov,TitForTat,396,132,3.0,1.0
TitForTat,18,Grudger,Grudger,126,42,3.0,1.0
TitForTat,18,Grudger,AlwaysDefect,58,62,0.9354838709677419,0.06451612903225806
TitForTat,18,AlwaysDefect,Grudger,78,62,1.2580645161290323,0.0
TitForTat,18,Grudger,Random,306,108,2.8333333333333335,0.1388888888888889
TitForTat,18,Random,Grudger,101,108,0.9351851851851852,0.5185185185185185
TitForTat,18,Grudger,Pavlov,261,87,3.0,1.0
TitForTat,18,Pavlov,Grudger,261,87,3.0,1.0
TitForTat,18,AlwaysDefect,AlwaysDefect,56,56,1.0,0.0
TitForTat,18,AlwaysDefect,Random,364,120,3.033333333333333,0.0
TitForTat,18,Random,AlwaysDefect,59,120,0.49166666666666664,0.5083333333333333
TitForTat,18,AlwaysDefect,Pavlov,222,74,3.0,0.0
TitForTat,18,Pavlov,AlwaysDefect,37,74,0.5,0.5
TitForTat,18,Random,Random,144,60,2.4,0.6
TitForTat,18,Random,Pavlov,152,58,2.6206896551724137,0.46551724137931033
TitForTat,18,Pavlov,Random,112,58,1.9310344827586208,0.603448275862069
TitForTat,18,Pavlov,Pavlov,96,32,3.0,1.0
TitForTat,19,SEAT,SEAT,7686,2562,3.0,1.0
TitForTat,19,SEAT,TitForTat,3105,1035,3.0,1.0
TitForTat,19,TitForTat,SEAT,3105,1035,3.0,1.0
TitForTat,19,SEAT,Grudger,1698,566,3.0,1.0
TitForTat,19,Grudger,SEAT,1698,566,3.0,1.0
TitForTat,19,SEAT,AlwaysDefect,512,536,0.9552238805970149,0.04477611940298507
TitForTat,19,AlwaysDefect,SEAT,632,536,1.1791044776119404,0.0
TitForTat,19,SEAT,Random,1083,475,2.28,0.5642105263157895
TitForTat,19,Random,SEAT,1153,475,2.4273684210526314,0.5347368421052632
TitForTat,19,SEAT,Pavlov,1248,416,3.0,1.0
TitForTat,19,Pavlov,SEAT,1248,416,3.0,1.0
TitForTat,19,TitForTat,TitForTat,792,264,3.0,1.0
TitForTat,19,TitForTat,Grudger,543,181,3.0,1.0
TitForTat,19,Grudger,TitForTat,543,181,3.0,1.0
TitForTat,19,TitForTat,AlwaysDefect,169,177,0.9548022598870056,0.04519774011299435
TitForTat,19,AlwaysDefect,TitForTat,209,177,1.1807909604519775,0.0
TitForTat,19,TitForTat,Random,345,157,2.1974522292993632,0.5159235668789809
TitForTat,19,Random,TitForTat,370,157,2.356687898089172,0.4840764331210191
TitForTat,19,TitForTat,Pavlov,369,123,3.0,1.0
TitForTat,19,Pavlov,TitForTat,369,123,3.0,1.0
TitForTat,19,Grudger,Grudger,78,26,3.0,1.0
TitForTat,19,Grudger,AlwaysDefect,47,51,0.9215686274509803,0.0784313725490196
TitForTat,19,AlwaysDefect,Grudger,67,51,1.3137254901960784,0.0
TitForTat,19,Grudger,Random,175,73,2.3972602739726026,0.1232876712328767
TitForTat,19,Random,Grudger,75,73,1.0273972602739727,0.3972602739726027
TitForTat,19,Grudger,Pavlov,282,94,3.0,1.0
TitForTat,19,Pavlov,Grudger,282,94,3.0,1.0
TitForTat,19,AlwaysDefect,AlwaysDefect,60,60,1.0,0.0
TitForTat,19,AlwaysDefect,Random,143,47,3.0425531914893615,0.0
TitForTat,19,Random,AlwaysDefect,23,47,0.48936170212765956,0.5106382978723404
TitForTat,19,AlwaysDefect,Pavlov,213,69,3.0869565217391304,0.0
TitForTat,19,Pavlov,AlwaysDefect,33,69,0.4782608695652174,0.5217391304347826
TitForTat,19,Random,Random,15,6,2.5,0.5
TitForTat,19,Random,Pavlov,201,93,2.161290322580645,0.5053763440860215
TitForTat,19,Pavlov,Random,216,93,2.3225806451612905,0.4731182795698925
TitForTat,19,Pavlov,Pavlov,180,60,3.0,1.0
TitForTat,20,SEAT,SEAT,7884,2628,3.0,1.0
TitForTat,20,SEAT,TitForTat,2730,910,3.0,1.0
TitForTat,20,TitForTat,SEAT,2730,910,3.0,1.0
TitForTat,20,SEAT,Grudger,1359,453,3.0,1.0
TitForTat,20,Grudger,SEAT,1359,453,3.0,1.0
TitForTat,20,SEAT,AlwaysDefect,414,438,0.9452054794520548,0.0547945205479452
TitForTat,20,AlwaysDefect,SEAT,534,438,1.2191780821917808,0.0
TitForTat,20,SEAT,Random,1074,492,2.182926829268293,0.5121951219512195
TitForTat,20,Random,SEAT,1144,492,2.3252032520325203,0.483739837398374
TitForTat,20,SEAT,Pavlov,1473,491,3.0,1.0
TitForTat,20,Pavlov,SEAT,1473,491,3.0,1.0
TitForTat,20,TitForTat,TitForTat,660,220,3.0,1.0
TitForTat,20,TitForTat,Grudger,549,183,3.0,1.0
TitForTat,20,Grudger,TitForTat,549,183,3.0,1.0
TitForTat,20,TitForTat,AlwaysDefect,161,169,0.9526627218934911,0.047337278106508875
TitForTat,20,AlwaysDefect,TitForTat,201,169,1.1893491124260356,0.0
TitForTat,20,TitForTat,Random,398,168,2.369047619047619,0.5833333333333334
TitForTat,20,Random,TitForTat,413,168,2.4583333333333335,0.5654761904761905
TitForTat,20,TitForTat,Pavlov,582,194,3.0,1.0
TitForTat,20,Pavlov,TitForTat,582,194,3.0,1.0
TitForTat,20,Grudger,Grudger,102,34,3.0,1.0
TitForTat,20,Grudger,AlwaysDefect,100,104,0.9615384615384616,0.038461538461538464
TitForTat,20,AlwaysDefect,Grudger,120,104,1.1538461538461537,0.0
TitForTat,20,Grudger,Random,159,57,2.789473684210526,0.15789473684210525
TitForTat,20,Random,Grudger,59,57,1.0350877192982457,0.5087719298245614
TitForTat,20,Grudger,Pavlov,228,76,3.0,1.0
TitForTat,20,Pavlov,Grudger,228,76,3.0,1.0
TitForTat,20,AlwaysDefect,AlwaysDefect,60,60,1.0,0.0
TitForTat,20,AlwaysDefect,Random,257,85,3.023529411764706,0.0
TitForTat,20,Random,AlwaysDefect,42,85,0.49411764705882355,0.5058823529411764
TitForTat,20,AlwaysDefect,Pavlov,141,45,3.1333333333333333,0.0
TitForTat,20,Pavlov,AlwaysDefect,21,45,0.4666666666666667,0.5333333333333333
TitForTat,20,Random,Random,56,26,2.1538461538461537,0.46153846153846156
TitForTat,20,Random,Pavlov,167,64,2.609375,0.46875
TitForTat,20,Pavlov,Random,127,64,1.984375,0.59375
TitForTat,20,Pavlov,Pavlov,180,60,3.0,1.0
Random,1,SEAT,SEAT,6010,2668,2.252623688155922,0.5022488755622189
Random,1,SEAT,TitForTat,2402,1016,2.3641732283464565,0.5206692913385826
Random,1,TitForTat,SEAT,2277,1016,2.2411417322834644,0.5452755905511811
Random,1,SEAT,Grudger,434,591,0.7343485617597293,0.5296108291032149
Random,1,Grudger,SEAT,1779,591,3.010152284263959,0.07445008460236886
Random,1,SEAT,AlwaysDefect,246,513,0.47953216374269003,0.52046783625731
Random,1,AlwaysDefect,SEAT,1581,513,3.08187134502924,0.0
Random,1,SEAT,Random,1170,532,2.199248120300752,0.4943609022556391
Random,1,Random,SEAT,1200,532,2.255639097744361,0.4830827067669173
Random,1,SEAT,Pavlov,825,353,2.3371104815864023,0.5552407932011332
