model,effort,condition,posts,mean_chars,names_other_agent,names_opponent,second_person,proposes,reply_marker,names_earlier_poster,directive,identity,opponent_info,other,uncoded
DeepSeek,high,forbidden,21,90.9047619047619,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.2857142857142857,0.6666666666666666,0.0
DeepSeek,high,hidden,4058,365.0379497289305,0.9896500739280434,0.43592902907836373,0.1599310004928536,0.7843765401675702,0.08477082306554953,0.09733859043863972,0.0677673730901922,0.0,0.07589945786101528,0.838836865450961,0.017496303597831445
DeepSeek,high,permitted,9162,322.1612093429382,0.9882121807465619,0.4632176380702903,0.9393145601397075,0.8986029251255184,0.024776249727133815,0.0027286618642217856,0.04682383759004584,0.0,0.015717092337917484,0.9322200392927309,0.005239030779305829
DeepSeek,off,forbidden,4079,30.59205687668546,0.35989213042412355,0.1625398381956362,0.00024515812699190976,0.033341505270899734,0.0004903162539838195,0.0,0.001225790634959549,0.0,0.027948026477077715,0.9546457465064967,0.016180436381466046
DeepSeek,off,hidden,10858,141.97467305212746,0.9807515196168723,0.38819303739178485,0.029471357524405967,0.7769386627371523,0.0045128016209246636,0.0009209799226376865,0.0026708417756492906,0.0,0.002947135752440597,0.9014551482777675,0.09292687419414257
DeepSeek,off,permitted,11809,133.66999745956474,0.97036158861885,0.37606909983910575,0.03624354306037768,0.7927851638580744,0.003895334067236853,0.0007621305783724278,0.004742145820983995,0.0,0.003895334067236853,0.8745024980946735,0.1168600220171056
MiMo,off,forbidden,3886,135.8026248069995,0.7174472465259908,0.36181163149768397,0.4485331960885229,0.6119402985074627,0.01827071538857437,0.0002573340195573855,0.32321152856407614,0.0002573340195573855,0.138188368502316,0.5349974266598044,0.0033453422542460112
MiMo,off,permitted,790,230.0367088607595,0.9582278481012658,0.4873417721518987,0.7556962025316456,0.8860759493670886,0.005063291139240506,0.0,0.20253164556962025,0.0,0.03164556962025317,0.7531645569620253,0.012658227848101266
