block,high_n,off_n,high_used,off_used,high_unobserved,off_unobserved,high_provider_abort,off_provider_abort,observed_A_pp,include_unobserved_as_zero_A_pp,completed_A_pp,residual_missing_lower_A_pp,residual_missing_upper_A_pp,repaired_games,repaired_used,omit_repairs_A_pp,repairs_unknown_lower_A_pp,repairs_unknown_upper_A_pp
B1,210,210,4,171,0,0,0,0,-79.52380952380953,-79.52380952380953,-79.4349510138984,-79.52380952380953,-79.52380952380953,0,0,-79.52380952380952,-79.52380952380952,-79.52380952380952
B2,210,210,4,168,0,0,0,0,-78.0952380952381,-78.0952380952381,-78.0952380952381,-78.0952380952381,-78.0952380952381,0,0,-78.0952380952381,-78.0952380952381,-78.0952380952381
B3,210,210,6,174,0,0,0,0,-80.00000000000001,-80.00000000000001,-79.91797676008203,-80.00000000000001,-80.00000000000001,0,0,-80.0,-80.0,-80.0
B4,210,210,3,157,0,0,0,0,-73.33333333333334,-73.33333333333334,-73.33333333333334,-73.33333333333334,-73.33333333333334,0,0,-73.33333333333334,-73.33333333333334,-73.33333333333334
B5,210,210,15,199,0,0,0,0,-87.61904761904762,-87.61904761904762,-87.54313319530709,-87.61904761904762,-87.61904761904762,18,1,-87.4702380952381,-88.09523809523809,-79.52380952380952
B6,210,210,24,203,0,0,0,0,-85.23809523809526,-85.23809523809526,-85.18978605935128,-85.23809523809526,-85.23809523809526,57,4,-83.59477124183007,-87.14285714285715,-60.00000000000001
