dataset,effort,count,25%,50%,75%
deficit_d30,off,32547.0,0.0,0.0,0.0
low_arm,low,32908.0,340.0,519.0,831.0
prereg,high,32631.0,754.0,1303.0,2566.5
prereg,off,70998.0,0.0,0.0,0.0
