condition,metric,mean_pp,n_pos,p,per_block
forbidden,board_hz,2.5070348345252405,5,0.0625,+2.92;+3.44;+4.99;+3.69;+0.97;-0.97
forbidden,decoy_hz,7.679851270057829,4,0.125,+14.54;+14.99;+9.57;+10.14;-2.79;-0.37
hidden,board_hz,4.302199405332363,6,0.03125,+8.41;+3.90;+9.82;+3.54;+0.09;+0.04
hidden,decoy_hz,4.693983531073412,4,0.15625,+7.00;+3.03;+15.57;+6.55;-1.37;-2.62
permitted,board_hz,1.745357633685174,5,0.0625,+3.28;+2.54;+1.97;+2.66;+0.03;-0.01
permitted,decoy_hz,5.22692461598823,5,0.0625,+5.47;+7.43;+7.71;+7.84;+3.27;-0.35
