model,condition,effort,score_state,block,mean_rounds,median_rounds,n_played
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,B5,20.605072463768117,24.0,20.605072463768117
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,B6,19.971014492753625,24.0,19.971014492753625
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,B1,18.66304347826087,19.5,18.66304347826087
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,B2,19.72826086956522,23.5,19.72826086956522
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,B3,17.141304347826086,17.0,17.141304347826086
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,B4,19.463768115942027,21.5,19.463768115942027
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,B5,14.923913043478262,12.0,15.087912087912088
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,B6,13.105072463768115,8.0,13.249084249084248
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,B1,19.184782608695652,23.0,19.184782608695652
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,B2,18.69927536231884,21.0,18.69927536231884
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,B3,18.018115942028984,17.0,18.14963503649635
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,B4,18.471014492753625,20.0,18.471014492753625
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,B5,12.304347826086957,8.5,12.394160583941606
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,B6,10.51086956521739,6.5,10.587591240875913
