dataset,sandbox,source,condition,effort,paraphrase,seed,shuffle_seed,provider,quant,matrix,arm,gap,history,start,repair_of,board_replay
prereg,B3-permitted-off-behind,./runs/v3/B3-permitted-off-behind/manifest.json,permitted,off,p2,306,306,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:57:32Z,,
prereg,B4-forbidden-high-behind,./runs/v3/B4-forbidden-high-behind/manifest.json,forbidden,high,p2,412,412,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:09:08Z,,
prereg,B4-forbidden-off-ahead,./runs/v3/B4-forbidden-off-ahead/manifest.json,forbidden,off,p2,409,409,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T00:14:19Z,,
prereg,B4-forbidden-off-behind,./runs/v3/B4-forbidden-off-behind/manifest.json,forbidden,off,p2,410,410,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:06:02Z,,
prereg,B4-hidden-high-behind,./runs/v3/B4-hidden-high-behind/manifest.json,hidden,high,p2,416,416,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:30:30Z,,
prereg,B4-hidden-off-ahead,./runs/v3/B4-hidden-off-ahead/manifest.json,hidden,off,p2,413,413,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:57:56Z,,
prereg,B4-hidden-off-behind,./runs/v3/B4-hidden-off-behind/manifest.json,hidden,off,p2,414,414,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:13:40Z,,
prereg,B4-permitted-high-behind,./runs/v3/B4-permitted-high-behind/manifest.json,permitted,high,p2,408,408,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:01:22Z,,
prereg,B4-permitted-off-ahead,./runs/v3/B4-permitted-off-ahead/manifest.json,permitted,off,p2,405,405,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T00:07:42Z,,
prereg,B4-permitted-off-behind,./runs/v3/B4-permitted-off-behind/manifest.json,permitted,off,p2,406,406,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:32:04Z,,
prereg,B5-forbidden-high-behind,./runs/v3/B5-forbidden-high-behind/manifest.json,forbidden,high,p3,512,512,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T01:03:16Z,,
prereg,B5-forbidden-off-ahead,./runs/v3/B5-forbidden-off-ahead/manifest.json,forbidden,off,p3,509,509,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T01:38:00Z,,
prereg,B5-forbidden-off-behind,./runs/v3/B5-forbidden-off-behind/manifest.json,forbidden,off,p3,510,510,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:58:26Z,,
prereg,B5-hidden-high-behind,./runs/v3/B5-hidden-high-behind/manifest.json,hidden,high,p3,516,516,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T01:44:24Z,,
prereg,B5-hidden-off-ahead,./runs/v3/B5-hidden-off-ahead/manifest.json,hidden,off,p3,513,513,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T00:37:27Z,,
prereg,B5-hidden-off-behind,./runs/v3/B5-hidden-off-behind/manifest.json,hidden,off,p3,514,514,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T01:13:17Z,,
prereg,B5-permitted-high-behind,./runs/v3/B5-permitted-high-behind/manifest.json,permitted,high,p3,508,508,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:49:32Z,,
prereg,B5-permitted-off-ahead,./runs/v3/B5-permitted-off-ahead/manifest.json,permitted,off,p3,505,505,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T00:58:42Z,,
prereg,B5-permitted-off-behind,./runs/v3/B5-permitted-off-behind/manifest.json,permitted,off,p3,506,506,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T02:16:45Z,,
prereg,B6-hidden-off-ahead,./runs/v3/B6-hidden-off-ahead/manifest.json,hidden,off,p3,613,613,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T02:18:06Z,,
prereg,B6-forbidden-high-behind,./runs/v3b/B6-forbidden-high-behind/manifest.json,forbidden,high,p3,612,612,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T02:28:41Z,,
prereg,B6-forbidden-off-ahead,./runs/v3b/B6-forbidden-off-ahead/manifest.json,forbidden,off,p3,609,609,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T02:28:41Z,,
prereg,B6-forbidden-off-behind,./runs/v3b/B6-forbidden-off-behind/manifest.json,forbidden,off,p3,610,610,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T02:28:41Z,,
prereg,B6-hidden-high-behind,./runs/v3b/B6-hidden-high-behind/manifest.json,hidden,high,p3,616,616,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T03:41:41Z,,
prereg,B6-hidden-off-behind,./runs/v3b/B6-hidden-off-behind/manifest.json,hidden,off,p3,614,614,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T03:36:21Z,,
prereg,B6-permitted-high-behind,./runs/v3b/B6-permitted-high-behind/manifest.json,permitted,high,p3,608,608,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T02:28:41Z,,
prereg,B6-permitted-off-ahead,./runs/v3b/B6-permitted-off-ahead/manifest.json,permitted,off,p3,605,605,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T02:28:41Z,,
prereg,B6-permitted-off-behind,./runs/v3b/B6-permitted-off-behind/manifest.json,permitted,off,p3,606,606,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T03:42:01Z,,
prereg,X1-forbidden-off-behind-p4,./runs/v3b/X1-forbidden-off-behind-p4/manifest.json,forbidden,off,p4,9101,110,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T04:33:24Z,,
