dataset,sandbox,source,condition,effort,paraphrase,seed,shuffle_seed,provider,quant,matrix,arm,gap,history,start,repair_of,board_replay
replication,B6-permitted-off-ahead-a4096,./runs/v4-a4096/B6-permitted-off-ahead-a4096/manifest.json,permitted,off,p3,605,605,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T09:33:38Z,,
replication,B6-permitted-off-ahead-a4096,./runs/v4-a4096/B6-permitted-off-ahead-a4096.partial-providererror-20260913T080239Z/manifest.json,permitted,off,p3,605,605,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T07:59:29Z,,
replication,B6-permitted-off-behind-a4096,./runs/v4-a4096/B6-permitted-off-behind-a4096/manifest.json,permitted,off,p3,606,606,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T09:31:24Z,,
replication,B6-permitted-off-behind-a4096,./runs/v4-a4096/B6-permitted-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,permitted,off,p3,606,606,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T07:48:39Z,,
low_arm,B1-forbidden-low-behind,./runs/v6-low/B1-forbidden-low-behind/manifest.json,forbidden,low,p1,112,112,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:32Z,,
low_arm,B2-forbidden-low-behind,./runs/v6-low/B2-forbidden-low-behind/manifest.json,forbidden,low,p1,212,212,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:32Z,,
low_arm,B3-forbidden-low-behind,./runs/v6-low/B3-forbidden-low-behind/manifest.json,forbidden,low,p2,312,312,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:32Z,,
low_arm,B4-forbidden-low-behind,./runs/v6-low/B4-forbidden-low-behind/manifest.json,forbidden,low,p2,412,412,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:32Z,,
low_arm,B5-forbidden-low-behind,./runs/v6-low/B5-forbidden-low-behind/manifest.json,forbidden,low,p3,512,512,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T10:32:14Z,,
low_arm,B6-forbidden-low-behind,./runs/v6-low/B6-forbidden-low-behind/manifest.json,forbidden,low,p3,612,612,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T10:38:11Z,,
deficit_d30,B1-forbidden-off-behind-d30,./runs/v5-d30/B1-forbidden-off-behind-d30/manifest.json,forbidden,off,p1,110,110,deepinfra,fp8,default,behind,-30,"CD,CD,CD,CD,CD,CD",2026-09-13T08:22:33Z,,
deficit_d30,B2-forbidden-off-behind-d30,./runs/v5-d30/B2-forbidden-off-behind-d30/manifest.json,forbidden,off,p1,210,210,deepinfra,fp8,default,behind,-30,"CD,CD,CD,CD,CD,CD",2026-09-13T08:22:33Z,,
deficit_d30,B3-forbidden-off-behind-d30,./runs/v5-d30/B3-forbidden-off-behind-d30/manifest.json,forbidden,off,p2,310,310,deepinfra,fp8,default,behind,-30,"CD,CD,CD,CD,CD,CD",2026-09-13T08:22:33Z,,
deficit_d30,B4-forbidden-off-behind-d30,./runs/v5-d30/B4-forbidden-off-behind-d30/manifest.json,forbidden,off,p2,410,410,deepinfra,fp8,default,behind,-30,"CD,CD,CD,CD,CD,CD",2026-09-13T08:22:33Z,,
deficit_d30,B5-forbidden-off-behind-d30,./runs/v5-d30/B5-forbidden-off-behind-d30/manifest.json,forbidden,off,p3,510,510,deepinfra,fp8,default,behind,-30,"CD,CD,CD,CD,CD,CD",2026-09-13T08:41:48Z,,
deficit_d30,B6-forbidden-off-behind-d30,./runs/v5-d30/B6-forbidden-off-behind-d30/manifest.json,forbidden,off,p3,610,610,deepinfra,fp8,default,behind,-30,"CD,CD,CD,CD,CD,CD",2026-09-13T08:41:51Z,,
