block,n_high,unobserved,high_rate,high_rate_worstcase,off_rate,A_worstcase_pp
B1,210,0,0.01904761904761905,0.01904761904761905,0.8142857142857143,-79.52380952380952
B2,210,0,0.01904761904761905,0.01904761904761905,0.8,-78.0952380952381
B3,210,0,0.02857142857142857,0.02857142857142857,0.8285714285714286,-80.0
B4,210,0,0.014285714285714285,0.014285714285714285,0.7476190476190476,-73.33333333333334
B5,210,0,0.07142857142857142,0.07142857142857142,0.9476190476190476,-87.61904761904762
B6,210,0,0.11428571428571428,0.11428571428571428,0.9666666666666667,-85.23809523809524
