model,effort,condition,n_behind,rate_behind,n_ahead,rate_ahead,diff_pp
DeepSeek,off,forbidden,33190,0.18388068695390178,32610,0.1567310640907697,2.7149622863132077
DeepSeek,off,hidden,27827,0.8978689761742192,29128,0.856564130733315,4.130484544090418
DeepSeek,off,permitted,26824,0.9714807634953773,28435,0.9533673289959557,1.81134344994216
MiMo,off,forbidden,33066,0.19073973265590033,32934,0.1656039351430133,2.5135797512887024
