contrast,opponent_type,outcome,mean_diff,n_pos,k,p_exact_signflip,mean_A,mean_B,per_block_A,per_block_B
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,own_coop_played,-0.03321408556521226,3,6,0.4375,0.47734390131578125,0.5105579868809935,0.595;0.639;0.385;0.370;0.482;0.393,0.533;0.560;0.559;0.526;0.475;0.410
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,spr,0.008086439077983712,3,6,0.96875,2.326733021382681,2.3186465823046967,2.616;2.621;2.130;2.081;2.317;2.195,2.253;2.393;2.295;2.431;2.398;2.142
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,opp_spr,-0.003474551097536508,4,6,1.0,2.0519953450105364,2.055469896108073,2.263;2.338;1.874;1.843;2.094;1.900,2.116;2.133;2.160;2.026;2.041;1.858
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,round1_coop,0.125,5,6,0.0625,0.7743055555555555,0.6493055555555555,0.875;0.875;0.667;0.729;0.792;0.708,0.750;0.875;0.604;0.646;0.542;0.479
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,retaliation_rate,-0.07707317091188914,0,6,0.03125,0.6055571317120747,0.6826303026239638,0.517;0.421;0.705;0.740;0.606;0.644,0.668;0.570;0.730;0.741;0.652;0.734
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,forgiveness_rate,-0.01335653415358827,2,6,0.78125,0.3530794714193221,0.36643600557291034,0.529;0.467;0.289;0.228;0.328;0.279,0.469;0.321;0.335;0.308;0.452;0.313
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,mutual_D,-0.02726851990986452,3,6,0.5625,0.31545348575638715,0.3427220056662517,0.191;0.188;0.408;0.432;0.299;0.375,0.363;0.323;0.345;0.338;0.291;0.397
"Q6 high - off (forbidden, behind, DeepSeek)",TitForTat,nice,-0.15625,0,6,0.03125,0.07638888888888888,0.23263888888888887,0.125;0.104;0.062;0.083;0.062;0.021,0.250;0.229;0.375;0.333;0.125;0.083
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,own_coop_played,-0.10919375359195127,1,6,0.09375,0.5105579868809935,0.6197517404729448,0.533;0.560;0.559;0.526;0.475;0.410,0.763;0.774;0.723;0.601;0.438;0.420
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,spr,-0.11599689859048128,2,6,0.375,2.3186465823046967,2.434643480895178,2.253;2.393;2.295;2.431;2.398;2.142,2.725;2.629;2.562;2.485;2.135;2.071
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,opp_spr,-0.19981795435134475,1,6,0.09375,2.055469896108073,2.255287850459418,2.116;2.133;2.160;2.026;2.041;1.858,2.537;2.567;2.467;2.191;1.910;1.860
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,round1_coop,-0.09375,1,6,0.09375,0.6493055555555555,0.7430555555555555,0.750;0.875;0.604;0.646;0.542;0.479,0.917;0.938;0.854;0.688;0.500;0.562
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,retaliation_rate,0.08142704476751222,5,6,0.0625,0.6826303026239638,0.6012032578564516,0.668;0.570;0.730;0.741;0.652;0.734,0.548;0.630;0.570;0.646;0.586;0.628
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,forgiveness_rate,0.06503550986999886,4,6,0.1875,0.36643600557291034,0.30140049570291144,0.469;0.321;0.335;0.308;0.452;0.313,0.276;0.286;0.367;0.336;0.266;0.277
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,mutual_D,0.07931555394046057,5,6,0.15625,0.3427220056662517,0.26340645172579114,0.363;0.323;0.345;0.338;0.291;0.397,0.151;0.182;0.218;0.293;0.352;0.385
"Q5 behind - ahead (forbidden, off, DeepSeek)",TitForTat,nice,-0.09375000000000004,3,6,0.375,0.23263888888888887,0.3263888888888889,0.250;0.229;0.375;0.333;0.125;0.083,0.521;0.583;0.458;0.312;0.062;0.021
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,own_coop_played,-0.11025741299291991,2,6,0.15625,0.42126451376237534,0.5315219267552953,0.627;0.547;0.398;0.365;0.280;0.310,0.510;0.471;0.650;0.572;0.541;0.445
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,spr,0.021437805203187537,3,6,0.71875,2.904784074491328,2.883346269288141,2.791;2.935;2.926;2.972;2.855;2.950,2.843;2.908;2.984;2.913;2.896;2.756
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,opp_spr,-0.3020841061116312,2,6,0.125,1.6504515006820262,1.9525356067936575,2.222;1.969;1.568;1.479;1.325;1.340,1.940;1.791;2.170;2.014;1.989;1.811
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,round1_coop,0.09027777777777779,5,6,0.0625,0.7708333333333334,0.6805555555555555,0.958;0.875;0.750;0.667;0.708;0.667,0.792;0.792;0.750;0.625;0.500;0.625
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,retaliation_rate,0.016532489593100736,4,6,0.84375,0.6498231121148964,0.6332906225217957,0.466;0.529;0.649;0.688;0.813;0.754,0.622;0.731;0.593;0.610;0.513;0.730
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,forgiveness_rate,-0.08712517215120892,1,6,0.0625,0.1871284544797626,0.2742536266309715,0.292;0.284;0.131;0.124;0.198;0.093,0.334;0.322;0.116;0.189;0.285;0.399
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,mutual_D,0.06241792859278388,4,6,0.15625,0.26907998355662843,0.20666205496384457,0.178;0.192;0.287;0.289;0.343;0.326,0.209;0.233;0.155;0.198;0.189;0.256
"Q6 high - off (forbidden, behind, DeepSeek)",Pavlov,nice,-0.14583333333333334,0,6,0.125,0.041666666666666664,0.1875,0.083;0.042;0.042;0.042;0.000;0.042,0.083;0.208;0.333;0.333;0.125;0.042
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,own_coop_played,-0.05730694673436476,2,6,0.5,0.5315219267552953,0.58882887348966,0.510;0.471;0.650;0.572;0.541;0.445,0.758;0.763;0.710;0.628;0.326;0.348
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,spr,0.0646132698851527,5,6,0.28125,2.883346269288141,2.8187329994029877,2.843;2.908;2.984;2.913;2.896;2.756,3.021;2.867;2.792;2.717;2.810;2.705
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,opp_spr,-0.146808621111157,2,6,0.46875,1.9525356067936575,2.099344227904814,1.940;1.791;2.170;2.014;1.989;1.811,2.414;2.506;2.426;2.283;1.380;1.587
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,round1_coop,-0.006944444444444457,2,6,1.0,0.6805555555555555,0.6875,0.792;0.792;0.750;0.625;0.500;0.625,0.875;0.917;0.708;0.750;0.500;0.375
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,retaliation_rate,-0.03678040946824479,2,6,0.59375,0.6332906225217957,0.6700710319900406,0.622;0.731;0.593;0.610;0.513;0.730,0.701;0.775;0.536;0.512;0.766;0.731
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,forgiveness_rate,-0.032620777441322586,3,6,0.625,0.2742536266309715,0.3068744040722941,0.334;0.322;0.116;0.189;0.285;0.399,0.228;0.411;0.385;0.324;0.205;0.288
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,mutual_D,0.018821806867157256,4,6,0.625,0.20666205496384457,0.18784024809668728,0.209;0.233;0.155;0.198;0.189;0.256,0.100;0.113;0.138;0.171;0.291;0.313
"Q5 behind - ahead (forbidden, off, DeepSeek)",Pavlov,nice,-0.16666666666666666,1,6,0.25,0.1875,0.3541666666666667,0.083;0.208;0.333;0.333;0.125;0.042,0.583;0.625;0.458;0.292;0.125;0.042
"Q6 high - off (forbidden, behind, DeepSeek)",Random,own_coop_played,-0.15616433333174026,0,6,0.03125,0.24010323994465307,0.39626757327639334,0.345;0.251;0.190;0.258;0.163;0.233,0.420;0.295;0.375;0.503;0.443;0.342
"Q6 high - off (forbidden, behind, DeepSeek)",Random,spr,0.29655003375928685,6,6,0.03125,2.649648142445986,2.3530981086866993,2.475;2.506;2.619;2.894;2.669;2.735,2.311;2.465;2.426;2.239;2.270;2.407
"Q6 high - off (forbidden, behind, DeepSeek)",Random,opp_spr,-0.56231274137318,0,6,0.03125,1.3373682464315857,1.8996809878047654,1.677;1.435;1.174;1.322;1.111;1.305,2.000;1.564;1.864;2.290;1.962;1.718
"Q6 high - off (forbidden, behind, DeepSeek)",Random,round1_coop,0.09722222222222222,4,6,0.125,0.7708333333333334,0.6736111111111112,0.917;0.833;0.667;0.708;0.875;0.625,0.708;0.667;0.667;0.750;0.708;0.542
"Q6 high - off (forbidden, behind, DeepSeek)",Random,retaliation_rate,0.16948587136119656,6,6,0.03125,0.8826825720091819,0.7131967006479855,0.830;0.886;0.883;0.860;0.935;0.902,0.705;0.840;0.730;0.552;0.743;0.709
"Q6 high - off (forbidden, behind, DeepSeek)",Random,forgiveness_rate,-0.19914249916933072,0,6,0.03125,0.16753736664046504,0.3666798658097958,0.258;0.195;0.112;0.113;0.127;0.200,0.457;0.334;0.357;0.327;0.359;0.367
"Q6 high - off (forbidden, behind, DeepSeek)",Random,mutual_D,0.07730918034139407,6,6,0.03125,0.37782303510730725,0.30051385476591314,0.349;0.388;0.438;0.307;0.429;0.356,0.295;0.371;0.286;0.234;0.269;0.348
"Q6 high - off (forbidden, behind, DeepSeek)",Random,nice,0.06249999999999997,3,6,0.4375,0.6180555555555556,0.5555555555555556,0.792;0.792;0.458;0.583;0.625;0.458,0.583;0.542;0.583;0.708;0.625;0.292
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,own_coop_played,-0.13956662917672172,1,6,0.09375,0.39626757327639334,0.5358342024531151,0.420;0.295;0.375;0.503;0.443;0.342,0.400;0.571;0.598;0.510;0.557;0.579
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,spr,0.15578019170133503,4,6,0.28125,2.3530981086866993,2.197317916985364,2.311;2.465;2.426;2.239;2.270;2.407,2.448;2.301;2.123;2.304;2.233;1.775
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,opp_spr,-0.3974327323378624,2,6,0.125,1.8996809878047654,2.297113720142628,2.000;1.564;1.864;2.290;1.962;1.718,1.875;2.425;2.645;2.247;2.445;2.145
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,round1_coop,-0.1111111111111111,1,6,0.1875,0.6736111111111112,0.7847222222222222,0.708;0.667;0.667;0.750;0.708;0.542,0.792;1.000;0.708;0.667;0.750;0.792
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,retaliation_rate,0.16826893143684893,5,6,0.0625,0.7131967006479855,0.5449277692111366,0.705;0.840;0.730;0.552;0.743;0.709,0.737;0.565;0.411;0.500;0.555;0.501
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,forgiveness_rate,-0.05968120871175344,1,6,0.28125,0.3666798658097958,0.4263610745215493,0.457;0.334;0.357;0.327;0.359;0.367,0.321;0.532;0.420;0.344;0.477;0.465
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,mutual_D,0.0866885043515619,4,6,0.125,0.30051385476591314,0.21382535041435122,0.295;0.371;0.286;0.234;0.269;0.348,0.296;0.195;0.162;0.240;0.197;0.193
"Q5 behind - ahead (forbidden, off, DeepSeek)",Random,nice,-0.13888888888888887,1,6,0.15625,0.5555555555555556,0.6944444444444445,0.583;0.542;0.583;0.708;0.625;0.292,0.708;0.875;0.667;0.583;0.708;0.625
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,own_coop_played,-0.1272146952536323,0,6,0.03125,0.29824761921974546,0.42546231447337773,0.398;0.402;0.250;0.259;0.256;0.224,0.407;0.454;0.403;0.424;0.413;0.452
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,spr,-0.22301230457488017,1,6,0.0625,1.725232833248426,1.9482451378233063,1.940;1.939;1.613;1.659;1.634;1.566,1.870;2.021;1.852;1.941;1.961;2.044
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,opp_spr,-0.22301230457488017,1,6,0.0625,1.725232833248426,1.9482451378233063,1.940;1.939;1.613;1.659;1.634;1.566,1.870;2.021;1.852;1.941;1.961;2.044
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,round1_coop,0.14772727272727273,6,6,0.03125,0.7840909090909092,0.6363636363636365,0.886;0.894;0.773;0.689;0.727;0.735,0.818;0.826;0.553;0.538;0.515;0.568
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,retaliation_rate,0.09301955887183612,5,6,0.0625,0.8472769749697222,0.7542574160978862,0.817;0.792;0.885;0.852;0.872;0.865,0.824;0.755;0.799;0.779;0.698;0.670
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,forgiveness_rate,-0.1739605155410544,0,6,0.03125,0.2447152220541786,0.418675737595233,0.371;0.281;0.261;0.225;0.163;0.167,0.406;0.419;0.331;0.429;0.471;0.456
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,mutual_D,0.126492664522232,5,6,0.09375,0.5730147859713196,0.44652212144908754,0.459;0.463;0.638;0.600;0.622;0.657,0.510;0.433;0.514;0.483;0.387;0.352
"Q6 high - off (forbidden, behind, DeepSeek)",LLM,nice,-0.03156565656565658,2,6,0.28125,0.4065656565656565,0.43813131313131315,0.417;0.455;0.402;0.364;0.402;0.402,0.523;0.492;0.477;0.432;0.348;0.356
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,own_coop_played,-0.1789007043699021,1,6,0.09375,0.42546231447337773,0.6043630188432798,0.407;0.454;0.403;0.424;0.413;0.452,0.770;0.662;0.684;0.670;0.425;0.415
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,spr,-0.35878070262554185,1,6,0.09375,1.9482451378233063,2.3070258404488477,1.870;2.021;1.852;1.941;1.961;2.044,2.615;2.384;2.453;2.411;2.026;1.953
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,opp_spr,-0.35878070262554185,1,6,0.09375,1.9482451378233063,2.3070258404488477,1.870;2.021;1.852;1.941;1.961;2.044,2.615;2.384;2.453;2.411;2.026;1.953
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,round1_coop,-0.08393550893550893,1,6,0.09375,0.6363636363636365,0.7202991452991453,0.818;0.826;0.553;0.538;0.515;0.568,0.886;0.864;0.738;0.765;0.530;0.538
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,retaliation_rate,0.13694491592391309,5,6,0.0625,0.7542574160978862,0.6173125001739729,0.824;0.755;0.799;0.779;0.698;0.670,0.542;0.700;0.584;0.585;0.611;0.682
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,forgiveness_rate,0.01009326011536584,4,6,0.875,0.418675737595233,0.4085824774798672,0.406;0.419;0.331;0.429;0.471;0.456,0.509;0.303;0.465;0.417;0.393;0.365
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,mutual_D,0.165358761066709,5,6,0.09375,0.44652212144908754,0.2811633603823786,0.510;0.433;0.514;0.483;0.387;0.352,0.155;0.278;0.230;0.259;0.372;0.393
"Q5 behind - ahead (forbidden, off, DeepSeek)",LLM,nice,-0.1037101787101787,0,6,0.0625,0.43813131313131315,0.5418414918414919,0.523;0.492;0.477;0.432;0.348;0.356,0.682;0.659;0.569;0.606;0.348;0.386
