dataset,scope,level,n_sandboxes,nice,defected_first,round1_coop,retaliation_rate,forgiveness_rate,first_defection_round,llm_first_defection_round,own_coop_played,llm,opponent,both,none
deficit_d30,all,all,6,0.07185990338164251,0.9281400966183574,0.11835748792270533,0.8784268184614511,0.19484881067660145,1.100454370924592,1.1934790377169768,0.14784961852690912,0.42693236714975846,0.06280193236714977,0.501207729468599,0.009057971014492754
deficit_d30,opponent_type,opponent_type=AlwaysDefect,6,0.09722222222222222,0.9027777777777778,0.09722222222222222,0.9019527701792606,,1.0,1.1306543697848044,0.10586602469173745,0.0,0.09722222222222222,0.9027777777777778,0.0
deficit_d30,opponent_type,opponent_type=Grudger,6,0.027777777777777776,0.9722222222222222,0.09027777777777778,0.9132490467913285,0.11850649350649352,1.1016139657444004,1.1016139657444004,0.11856959143663243,0.9722222222222222,0.0,0.0,0.027777777777777776
deficit_d30,opponent_type,opponent_type=LLM,6,0.10227272727272728,0.8977272727272728,0.1212121212121212,0.8816284272141454,0.2522393773357783,1.0557922979797982,1.195949073964874,0.14279740413499212,0.09722222222222221,0.09722222222222221,0.8005050505050505,0.005050505050505051
deficit_d30,opponent_type,opponent_type=Pavlov,6,0.027777777777777776,0.9722222222222222,0.1875,0.8404670777811264,0.1934751339642644,1.3169191919191918,1.3169191919191918,0.2318927260253348,0.9722222222222222,0.0,0.0,0.027777777777777776
deficit_d30,opponent_type,opponent_type=Random,6,0.09027777777777778,0.9097222222222222,0.1111111111111111,0.8357846626111899,0.2290876944909074,1.1180555555555556,1.277777777777778,0.20684033120484757,0.45138888888888884,0.09027777777777778,0.4583333333333333,0.0
deficit_d30,opponent_type,opponent_type=TitForTat,6,0.010416666666666666,0.9895833333333334,0.10416666666666667,0.8808731921350442,0.12642186286382373,1.1616622982834823,1.1616622982834823,0.12585810847922294,0.9895833333333334,0.0,0.0,0.010416666666666666
deficit_d30,effort,effort=off,6,0.07185990338164251,0.9281400966183574,0.11835748792270533,0.8784268184614511,0.19484881067660145,1.100454370924592,1.1934790377169768,0.14784961852690912,0.42693236714975846,0.06280193236714977,0.501207729468599,0.009057971014492754
deficit_d30,score_state,score_state=behind,6,0.07185990338164251,0.9281400966183574,0.11835748792270533,0.8784268184614511,0.19484881067660145,1.100454370924592,1.1934790377169768,0.14784961852690912,0.42693236714975846,0.06280193236714977,0.501207729468599,0.009057971014492754
deficit_d30,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,6,0.07185990338164251,0.9281400966183574,0.11835748792270533,0.8784268184614511,0.19484881067660145,1.100454370924592,1.1934790377169768,0.14784961852690912,0.42693236714975846,0.06280193236714977,0.501207729468599,0.009057971014492754
deficit_d30,condition,condition=forbidden,6,0.07185990338164251,0.9281400966183574,0.11835748792270533,0.8784268184614511,0.19484881067660145,1.100454370924592,1.1934790377169768,0.14784961852690912,0.42693236714975846,0.06280193236714977,0.501207729468599,0.009057971014492754
deficit_d30,opp_x_effort,opponent_type=AlwaysDefect|effort=off,6,0.09722222222222222,0.9027777777777778,0.09722222222222222,0.9019527701792606,,1.0,1.1306543697848044,0.10586602469173745,0.0,0.09722222222222222,0.9027777777777778,0.0
deficit_d30,opp_x_effort,opponent_type=Grudger|effort=off,6,0.027777777777777776,0.9722222222222222,0.09027777777777778,0.9132490467913285,0.11850649350649352,1.1016139657444004,1.1016139657444004,0.11856959143663243,0.9722222222222222,0.0,0.0,0.027777777777777776
deficit_d30,opp_x_effort,opponent_type=LLM|effort=off,6,0.10227272727272728,0.8977272727272728,0.1212121212121212,0.8816284272141454,0.2522393773357783,1.0557922979797982,1.195949073964874,0.14279740413499212,0.09722222222222221,0.09722222222222221,0.8005050505050505,0.005050505050505051
deficit_d30,opp_x_effort,opponent_type=Pavlov|effort=off,6,0.027777777777777776,0.9722222222222222,0.1875,0.8404670777811264,0.1934751339642644,1.3169191919191918,1.3169191919191918,0.2318927260253348,0.9722222222222222,0.0,0.0,0.027777777777777776
deficit_d30,opp_x_effort,opponent_type=Random|effort=off,6,0.09027777777777778,0.9097222222222222,0.1111111111111111,0.8357846626111899,0.2290876944909074,1.1180555555555556,1.277777777777778,0.20684033120484757,0.45138888888888884,0.09027777777777778,0.4583333333333333,0.0
deficit_d30,opp_x_effort,opponent_type=TitForTat|effort=off,6,0.010416666666666666,0.9895833333333334,0.10416666666666667,0.8808731921350442,0.12642186286382373,1.1616622982834823,1.1616622982834823,0.12585810847922294,0.9895833333333334,0.0,0.0,0.010416666666666666
low_arm,all,all,6,0.27958937198067635,0.7204106280193238,0.6129227053140096,0.8501378082050697,0.1967809180520146,1.9883425622417252,2.248967111302942,0.2424270467042784,0.5072463768115941,0.25,0.21316425120772944,0.029589371980676325
low_arm,opponent_type,opponent_type=AlwaysDefect,6,0.5972222222222222,0.40277777777777785,0.5972222222222222,0.9292224351938225,,1.0,1.5913208168642952,0.14115012738313554,0.0,0.5972222222222222,0.40277777777777785,0.0
low_arm,opponent_type,opponent_type=Grudger,6,0.05555555555555556,0.9444444444444445,0.5833333333333334,0.8685865486118113,0.20727225672877847,2.5007332643202207,2.5007332643202207,0.23757276397934798,0.9444444444444445,0.0,0.0,0.05555555555555556
low_arm,opponent_type,opponent_type=LLM,6,0.35732323232323226,0.6426767676767677,0.6098484848484849,0.8675511214073296,0.21466489619169568,1.7787633084508085,2.1257664531240796,0.2243409498489134,0.3396464646464646,0.3396464646464646,0.30303030303030304,0.017676767676767676
low_arm,opponent_type,opponent_type=Pavlov,6,0.048611111111111105,0.9513888888888888,0.5972222222222222,0.721393395106281,0.1574710254950938,2.5493247694334653,2.5493247694334653,0.33399695421839004,0.9513888888888888,0.0,0.0,0.048611111111111105
low_arm,opponent_type,opponent_type=Random,6,0.4166666666666667,0.5833333333333334,0.5555555555555555,0.863230621085871,0.14516865529526102,1.3218599033816425,1.724857268335529,0.20782349260761615,0.20138888888888887,0.40972222222222227,0.3819444444444445,0.006944444444444444
low_arm,opponent_type,opponent_type=TitForTat,6,0.06597222222222222,0.9340277777777778,0.6805555555555557,0.8013998145359987,0.18922924804984606,2.9479613433128695,2.9479613433128695,0.31674623737084406,0.9340277777777778,0.0,0.0,0.06597222222222222
low_arm,effort,effort=low,6,0.27958937198067635,0.7204106280193238,0.6129227053140096,0.8501378082050697,0.1967809180520146,1.9883425622417252,2.248967111302942,0.2424270467042784,0.5072463768115941,0.25,0.21316425120772944,0.029589371980676325
low_arm,score_state,score_state=behind,6,0.27958937198067635,0.7204106280193238,0.6129227053140096,0.8501378082050697,0.1967809180520146,1.9883425622417252,2.248967111302942,0.2424270467042784,0.5072463768115941,0.25,0.21316425120772944,0.029589371980676325
low_arm,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,6,0.27958937198067635,0.7204106280193238,0.6129227053140096,0.8501378082050697,0.1967809180520146,1.9883425622417252,2.248967111302942,0.2424270467042784,0.5072463768115941,0.25,0.21316425120772944,0.029589371980676325
low_arm,condition,condition=forbidden,6,0.27958937198067635,0.7204106280193238,0.6129227053140096,0.8501378082050697,0.1967809180520146,1.9883425622417252,2.248967111302942,0.2424270467042784,0.5072463768115941,0.25,0.21316425120772944,0.029589371980676325
low_arm,opp_x_effort,opponent_type=AlwaysDefect|effort=low,6,0.5972222222222222,0.40277777777777785,0.5972222222222222,0.9292224351938225,,1.0,1.5913208168642952,0.14115012738313554,0.0,0.5972222222222222,0.40277777777777785,0.0
low_arm,opp_x_effort,opponent_type=Grudger|effort=low,6,0.05555555555555556,0.9444444444444445,0.5833333333333334,0.8685865486118113,0.20727225672877847,2.5007332643202207,2.5007332643202207,0.23757276397934798,0.9444444444444445,0.0,0.0,0.05555555555555556
low_arm,opp_x_effort,opponent_type=LLM|effort=low,6,0.35732323232323226,0.6426767676767677,0.6098484848484849,0.8675511214073296,0.21466489619169568,1.7787633084508085,2.1257664531240796,0.2243409498489134,0.3396464646464646,0.3396464646464646,0.30303030303030304,0.017676767676767676
low_arm,opp_x_effort,opponent_type=Pavlov|effort=low,6,0.048611111111111105,0.9513888888888888,0.5972222222222222,0.721393395106281,0.1574710254950938,2.5493247694334653,2.5493247694334653,0.33399695421839004,0.9513888888888888,0.0,0.0,0.048611111111111105
low_arm,opp_x_effort,opponent_type=Random|effort=low,6,0.4166666666666667,0.5833333333333334,0.5555555555555555,0.863230621085871,0.14516865529526102,1.3218599033816425,1.724857268335529,0.20782349260761615,0.20138888888888887,0.40972222222222227,0.3819444444444445,0.006944444444444444
low_arm,opp_x_effort,opponent_type=TitForTat|effort=low,6,0.06597222222222222,0.9340277777777778,0.6805555555555557,0.8013998145359987,0.18922924804984606,2.9479613433128695,2.9479613433128695,0.31674623737084406,0.9340277777777778,0.0,0.0,0.06597222222222222
prereg,all,all,69,0.3934843968964435,0.6065156031035565,0.6424954470644763,0.7316011194317594,0.3607898267827951,2.6816314447912273,3.1035951012947107,0.44952643368746503,0.42646399585643335,0.24240627739905052,0.18005160724712313,0.15107811949739286
prereg,opponent_type,opponent_type=AlwaysDefect,69,0.6509661835748792,0.34903381642512077,0.6509661835748792,0.8440399573535614,,1.0,1.8789874848948573,0.21768174512745933,0.0,0.6509661835748792,0.34903381642512077,0.0
prereg,opponent_type,opponent_type=Grudger,69,0.22765700483091786,0.7723429951690823,0.6491545893719808,0.782946597540515,0.3705298758409511,3.8566774277534703,3.8566774277534703,0.4533800025605527,0.7723429951690823,0.0,0.0,0.22765700483091786
prereg,opponent_type,opponent_type=LLM,69,0.43944992205861777,0.5605500779413823,0.6391948631079067,0.7393713556442378,0.40077878864804795,2.773039608496049,3.2198060925233962,0.4607168576464521,0.29000564652738575,0.29000564652738575,0.27054443141399664,0.14944427553123207
prereg,opponent_type,opponent_type=Pavlov,69,0.2143719806763285,0.7856280193236714,0.6431159420289855,0.6668235308696573,0.27814295269630873,3.6117618091743435,3.6117618091743435,0.5152259226749727,0.7856280193236714,0.0,0.0,0.2143719806763285
prereg,opponent_type,opponent_type=Random,69,0.5557568438003222,0.44424315619967797,0.6481481481481483,0.7641975551218877,0.3060223256871267,1.4924382223531563,2.4160599150202176,0.3510089223958491,0.20571658615136873,0.5418679549114332,0.23852657004830916,0.013888888888888888
prereg,opponent_type,opponent_type=TitForTat,69,0.22978337958680234,0.7702166204131976,0.6407968444855586,0.6045949369850733,0.35387528417150166,3.596378016376132,3.596378016376132,0.5491827988757471,0.7702166204131976,0.0,0.0,0.22978337958680234
prereg,effort,effort=high,19,0.38014508760794397,0.6198549123920559,0.749448622548119,0.7636338796130485,0.3334779741349162,3.4954790821669355,3.808555717574909,0.41037168389127837,0.47495947749809314,0.28324741658175906,0.14489543489396295,0.09689767102618496
prereg,effort,effort=off,50,0.39855333442607316,0.6014466655739268,0.601853240380692,0.7194286705628693,0.3711683307889889,2.3723693425884584,2.835710067108236,0.4644052386100159,0.4080357128326027,0.22688664450962137,0.19341095274132403,0.1716666899164519
prereg,score_state,score_state=ahead,26,0.4035448749134728,0.5964551250865272,0.599896666161878,0.6840703698947916,0.33633402711600086,2.458955194439133,2.9950855217193366,0.49519272418183563,0.3954824131750184,0.21531805644716995,0.20097271191150884,0.18822681846630285
prereg,score_state,score_state=behind,43,0.3874013171652165,0.6125986828347836,0.6682528494706983,0.7603406424076001,0.37557705448829853,2.816272898492494,3.1692055447588907,0.421914258039706,0.4451970458498471,0.2587852016955366,0.1674016369849365,0.12861611546967983
prereg,model,model=XiaomiMiMo/MiMo-V2.5-Pro,13,0.3687290969899666,0.6312709030100334,0.6376811594202898,0.5574415773309852,0.5573387940130121,2.472146355074642,2.9501865387364146,0.5518494667768004,0.4732441471571906,0.26198439241917504,0.15802675585284282,0.10674470457079153
prereg,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,56,0.3992311629461613,0.6007688370538388,0.6436130495533051,0.7720310131337246,0.3151623879614947,2.7302619120468634,3.139207803317173,0.42577287243458356,0.4156043178759004,0.2378613578408074,0.18516451917793825,0.1613698051053539
prereg,condition,condition=absent,2,0.27875905797101447,0.7212409420289856,0.4508605072463768,0.6265065491008646,0.35374416325908864,2.1868932038834954,2.7953637737478414,0.4457407508262401,0.39436141304347827,0.15194746376811596,0.3268795289855072,0.12681159420289856
prereg,condition,condition=forbidden,30,0.38527716068972817,0.6147228393102718,0.6775979406890228,0.6598534353863506,0.4193833835491757,2.3441198875531644,2.858168974908547,0.4782960989338872,0.46070735921576933,0.2646699460488734,0.15401548009450264,0.12060721464085475
prereg,condition,condition=hidden,18,0.35479183563125166,0.6452081643687483,0.5859970967476521,0.8108493197316802,0.25887248533525153,2.5961382822769425,2.8903136272895997,0.36891587136048165,0.4257246376811594,0.21990226500699367,0.21948352668758886,0.13488957062425802
prereg,condition,condition=permitted,19,0.45517565304516816,0.5448243469548318,0.6607673089909306,0.7808722803067845,0.3655686041570991,3.3476156618551465,3.725611573861588,0.4808670405409114,0.37647519122489476,0.23809468744243,0.16834915572993708,0.2170809656027381
prereg,opp_x_effort,opponent_type=AlwaysDefect|effort=high,19,0.7302631578947367,0.26973684210526316,0.7302631578947367,0.9289661156508184,,1.0,1.7232941543582274,0.14760487131516492,0.0,0.7302631578947367,0.26973684210526316,0.0
prereg,opp_x_effort,opponent_type=AlwaysDefect|effort=off,50,0.6208333333333332,0.3791666666666667,0.6208333333333332,0.8117680172006035,,1.0,1.9381509504987764,0.24431095717613122,0.0,0.6208333333333332,0.3791666666666667,0.0
prereg,opp_x_effort,opponent_type=Grudger|effort=high,19,0.16447368421052633,0.8355263157894737,0.7543859649122806,0.8238084146030521,0.4243980449416472,4.8040198009064685,4.8040198009064685,0.4029943003729777,0.8355263157894737,0.0,0.0,0.16447368421052633
prereg,opp_x_effort,opponent_type=Grudger|effort=off,50,0.25166666666666665,0.7483333333333334,0.6091666666666666,0.7674191070567511,0.35005997158268654,3.4966873259553295,3.4966873259553295,0.47252656939183135,0.7483333333333334,0.0,0.0,0.25166666666666665
prereg,opp_x_effort,opponent_type=LLM|effort=high,19,0.43196627933470033,0.5680337206652997,0.7478968400021031,0.7987658145108977,0.32043418449075556,3.6043249538558215,3.965968250762748,0.4013319451204051,0.3513749408486251,0.3513749408486251,0.21665877981667456,0.08059133848607532
prereg,opp_x_effort,opponent_type=LLM|effort=off,50,0.44229370629370635,0.5577062937062937,0.5978881118881119,0.7168014612749072,0.43130973822781904,2.4571511772593353,2.936264472392443,0.4832831244063499,0.2666853146853147,0.2666853146853147,0.291020979020979,0.1756083916083916
prereg,opp_x_effort,opponent_type=Pavlov|effort=high,19,0.12280701754385963,0.8771929824561404,0.7499999999999999,0.6173512014847143,0.2585472497422169,4.835013078238862,4.835013078238862,0.5107159391923963,0.8771929824561404,0.0,0.0,0.12280701754385963
prereg,opp_x_effort,opponent_type=Pavlov|effort=off,50,0.24916666666666668,0.7508333333333332,0.6025,0.6856230160359353,0.28558931981886365,3.146926326929827,3.146926326929827,0.5169397163983515,0.7508333333333332,0.0,0.0,0.24916666666666668
