contrast,policy,mean_pp,n_pos,p,per_block
A_forbidden,observed,-80.63492063492063,0,0.03125,-79.5;-78.1;-80.0;-73.3;-87.6;-85.2
B_forbidden,observed,11.031746031746032,6,0.03125,+21.9;+19.0;+15.2;+8.1;+1.0;+1.0
A_forbidden,keep_all,-80.63492063492063,0,0.03125,-79.5;-78.1;-80.0;-73.3;-87.6;-85.2
B_forbidden,keep_all,11.031746031746032,6,0.03125,+21.9;+19.0;+15.2;+8.1;+1.0;+1.0
A_forbidden,completed,-80.58573640953503,0,0.03125,-79.4;-78.1;-79.9;-73.3;-87.5;-85.2
B_forbidden,completed,11.086982388934448,6,0.03125,+21.8;+19.0;+15.3;+8.3;+1.0;+1.1
