condition,generation,n_sandboxes,coop_overall,coop_llm_llm,coop_llm_script,coop_llm_own_overall,coop_llm_own_vs_llm,coop_llm_own_vs_script,board_size_mean,new_posts_total,pop_llm_mean,pop_script_mean,pop_types_mean,retired_total
absent,0,2,0.5007967486239814,0.44651598643042956,0.4471748354880617,0.49544626593806923,0.5394883203559511,0.46491904394757133,0.0,0,12.0,12.0,6.0,0
permitted,0,19,0.4989376050451975,0.5155643045915981,0.4407467250095641,0.47755662758378326,0.5378437116129642,0.428070039363208,1044.157894736842,19839,12.0,12.0,6.0,0
forbidden,0,30,0.47851715772228953,0.4607764235013045,0.44120797866728617,0.4501827514276505,0.46015107137351624,0.44122096850566483,266.03333333333336,7981,12.0,12.0,6.0,0
hidden,0,18,0.4252245320686294,0.34436634235199187,0.3761737604029242,0.3516260618150033,0.35838946723821186,0.34632908356980135,799.6666666666666,14394,12.0,12.0,6.0,0
