sandbox,scope,generations_used,condition,effort,score_state,opponent_mix,seed,generations,dataset,base_sandbox,model,paraphrase,sandbox_complete,n_games_llm_involving,n_games_observed,n_games_completed,n_games_aborted,n_games_aborted_with_board_attempt,n_games_unobserved_provider_error,n_games_provider_error_censored,abort_rate_per_game,eligible_registered,exclusion_reason,n_games_llm_llm,n_agent_games,n_agent_games_observed,n_llm_moves,mean_rounds_per_agent_game,rate_per_game_either,rate_per_game_either_keepall,rate_per_game_either_completed,rate_per_llm_llm_game_both,rate_per_agent_game,hazard_per_opportunity_unfitted,final_attempt_rate_per_agent_game,post_rate_per_agent_game,read_rate_per_agent_game,decoy_rate_per_game_either,decoy_rate_per_agent_game,board_calls,decoy_calls,board_over_decoy,calls_on_failed_moves,calls_lost_by_retry,failed_move_rate,median_attempted_first_use_round,coop_rate_llm_own_completed,coop_rate_llm_own,mean_score_completed,n_posts_completed,block_id,block_effort,block_state,block_mix
B3-permitted-off-ahead-a4096,fixed_population,[0],permitted,off,ahead,win,305,1,replication,B3-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,197,13,13,0,0,0.06190476190476191,True,,66,276,276,5169,18.72826086956522,1.0,1.0,1.0,1.0,1.0,,1.0,0.8985507246376812,1.0,1.0,1.0,6490,4322,1.5016196205460435,13,7,0.0025149932288643837,1.0,0.49841844159671134,0.49841844159671134,39.2093023255814,1153,B3,DeepSeek-V4-Flash-0731/permitted/ahead/B3,DeepSeek-V4-Flash-0731/permitted/off/B3,DeepSeek-V4-Flash-0731/permitted/off/B3
B3-permitted-off-behind-a4096,fixed_population,[0],permitted,off,behind,lose,306,1,replication,B3-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,203,7,7,0,0,0.03333333333333333,True,,66,276,276,5567,20.170289855072465,1.0,1.0,1.0,0.9848484848484849,0.9963768115942029,0.24319337033634603,0.9963768115942029,0.9021739130434783,0.9963768115942029,1.0,0.9927536231884058,7307,4888,1.4948854337152209,7,1,0.0012574097359439554,1.0,0.3549236461713224,0.3549236461713224,38.45283018867924,1520,B3,DeepSeek-V4-Flash-0731/permitted/behind/B3,DeepSeek-V4-Flash-0731/permitted/off/B3,DeepSeek-V4-Flash-0731/permitted/off/B3
B4-hidden-off-ahead-a4096,fixed_population,[0],hidden,off,ahead,win,413,1,replication,B4-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,206,4,4,0,0,0.01904761904761905,True,,66,276,276,5203,18.85144927536232,1.0,1.0,1.0,1.0,1.0,,1.0,0.9130434782608695,1.0,0.9952380952380953,0.9927536231884058,5995,3674,1.6317365269461077,4,8,0.000768787238131847,1.0,0.30161350034008677,0.30161350034008677,33.8,1254,B4,DeepSeek-V4-Flash-0731/hidden/ahead/B4,DeepSeek-V4-Flash-0731/hidden/off/B4,DeepSeek-V4-Flash-0731/hidden/off/B4
B4-hidden-off-behind-a4096,fixed_population,[0],hidden,off,behind,lose,414,1,replication,B4-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,208,2,2,0,0,0.009523809523809525,True,,66,276,276,5627,20.38768115942029,1.0,1.0,1.0,1.0,1.0,,1.0,0.9130434782608695,1.0,1.0,1.0,6867,4260,1.6119718309859155,2,8,0.00035542918073573843,1.0,0.2725568077682108,0.2725568077682108,36.84249084249084,1484,B4,DeepSeek-V4-Flash-0731/hidden/behind/B4,DeepSeek-V4-Flash-0731/hidden/off/B4,DeepSeek-V4-Flash-0731/hidden/off/B4
B4-permitted-off-ahead-a4096,fixed_population,[0],permitted,off,ahead,win,405,1,replication,B4-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,188,22,22,0,0,0.10476190476190476,False,aborted 22/210 = 10.5% > 10% (pre-registered rule),66,276,276,5205,18.858695652173914,1.0,1.0,1.0,1.0,1.0,,1.0,0.8913043478260869,1.0,0.9952380952380953,0.9927536231884058,5872,4079,1.4395685216964942,22,19,0.004226705091258405,1.0,0.6912029371751582,0.6912029371751582,45.55601659751037,829,B4,DeepSeek-V4-Flash-0731/permitted/ahead/B4,DeepSeek-V4-Flash-0731/permitted/off/B4,DeepSeek-V4-Flash-0731/permitted/off/B4
B4-permitted-off-behind-a4096,fixed_population,[0],permitted,off,behind,lose,406,1,replication,B4-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,205,5,5,0,0,0.023809523809523808,True,,66,276,276,5718,20.717391304347824,1.0,1.0,1.0,1.0,1.0,,1.0,0.9528985507246377,1.0,1.0,1.0,7677,5062,1.51659423152904,5,5,0.0008744316194473592,1.0,0.250794192158122,0.250794192158122,34.94402985074627,1613,B4,DeepSeek-V4-Flash-0731/permitted/behind/B4,DeepSeek-V4-Flash-0731/permitted/off/B4,DeepSeek-V4-Flash-0731/permitted/off/B4
B5-hidden-off-ahead-a4096,fixed_population,[0],hidden,off,ahead,win,513,1,replication,B5-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p3,True,210,210,207,3,3,0,0,0.014285714285714285,True,,66,276,276,5733,20.77173913043478,1.0,1.0,1.0,1.0,1.0,,1.0,0.9311594202898551,1.0,0.9952380952380953,0.9963768115942029,7243,5032,1.4393879173290938,3,0,0.0005232862375719519,1.0,0.27101372247794425,0.27101372247794425,36.34686346863469,1288,B5,DeepSeek-V4-Flash-0731/hidden/ahead/B5,DeepSeek-V4-Flash-0731/hidden/off/B5,DeepSeek-V4-Flash-0731/hidden/off/B5
B5-hidden-off-behind-a4096,fixed_population,[0],hidden,off,behind,lose,514,1,replication,B5-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p3,True,210,210,205,5,5,0,0,0.023809523809523808,True,,66,276,276,5435,19.692028985507246,1.0,1.0,1.0,1.0,1.0,,1.0,0.9057971014492754,1.0,0.9952380952380953,0.9963768115942029,7071,4664,1.5160806174957118,5,0,0.0009199632014719411,1.0,0.19190765096878273,0.19190765096878273,33.567669172932334,1243,B5,DeepSeek-V4-Flash-0731/hidden/behind/B5,DeepSeek-V4-Flash-0731/hidden/off/B5,DeepSeek-V4-Flash-0731/hidden/off/B5
B5-permitted-off-ahead-a4096,fixed_population,[0],permitted,off,ahead,win,505,1,replication,B5-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p3,True,210,210,209,1,1,0,0,0.004761904761904762,True,,66,276,276,5726,20.746376811594203,1.0,1.0,1.0,1.0,1.0,,1.0,0.9601449275362319,1.0,0.9952380952380953,0.9927536231884058,7337,4857,1.510603253036854,1,0,0.00017464198393293747,1.0,0.28110640893053673,0.28110640893053673,35.68,1489,B5,DeepSeek-V4-Flash-0731/permitted/ahead/B5,DeepSeek-V4-Flash-0731/permitted/off/B5,DeepSeek-V4-Flash-0731/permitted/off/B5
B5-permitted-off-behind-a4096,fixed_population,[0],permitted,off,behind,lose,506,1,replication,B5-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p3,True,210,210,204,6,6,0,0,0.02857142857142857,True,,66,276,276,5499,19.92391304347826,1.0,1.0,1.0,1.0,1.0,,1.0,0.9492753623188406,1.0,1.0,1.0,7444,4793,1.553098268307949,6,0,0.0010911074740861974,1.0,0.2039871091204857,0.2039871091204857,36.53962264150943,1660,B5,DeepSeek-V4-Flash-0731/permitted/behind/B5,DeepSeek-V4-Flash-0731/permitted/off/B5,DeepSeek-V4-Flash-0731/permitted/off/B5
