condition,pair_type,n_games,accuracy,ci_lo,ci_hi,chance_uniform_over_types,chance_modal_opponent,chance_binary_script_or_model,acc_minus_modal
absent,ALL,410,0.6292682926829268,0.5815179891457759,0.6746187456851508,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.26755533233897705
absent,llm-llm,173,0.28901734104046245,0.22663249737226657,0.3605683746018936,0.16666666666666666,0.3617129603439498,0.5420037336652147,-0.07269561930348734
absent,llm-script,237,0.8776371308016878,0.8297906632736896,0.9134368560931694,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.515924170457738
permitted,ALL,4115,0.625273390036452,0.6103734244584528,0.6399396818622735,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.2635604296925022
permitted,llm-llm,1739,0.25301897642323173,0.23314574620687878,0.273980965949,0.16666666666666666,0.3617129603439498,0.5420037336652147,-0.10869398392071805
permitted,llm-script,2376,0.8977272727272727,0.8848945572713826,0.9092759926175037,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.536014312383323
forbidden,ALL,6707,0.5896824213508275,0.5778622657595707,0.6013999038777083,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.2279694610068777
forbidden,llm-llm,3113,0.35175072277545777,0.33516838015397743,0.36869849527277865,0.16666666666666666,0.3617129603439498,0.5420037336652147,-0.009962237568492016
forbidden,llm-script,3594,0.7957707289927657,0.7822782868607433,0.8086315751588197,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.4340577686488159
hidden,ALL,3987,0.6340606972661149,0.6189864458087337,0.6488768634783992,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.27234773692216513
hidden,llm-llm,1691,0.244234180958013,0.22435157497762795,0.26527620377526784,0.16666666666666666,0.3617129603439498,0.5420037336652147,-0.11747877938593679
hidden,llm-script,2296,0.9211672473867596,0.9094279129072254,0.9314996182416873,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.5594542870428099
ALL,ALL,15219,0.6119981601944937,0.6042289331729589,0.6197108621156988,0.16666666666666666,0.3617129603439498,0.5420037336652147,0.2502851998505439
